subject_code,official_name,what_it_is,ancestor_path,vol,prev_disposition,prev_family,proposed_disposition,proposed_family,instrument_sector,mechanism,note,changed
11784,Oitiva,"<p> Assunto a ser vinculado &agrave;s cartas precat&oacute;rias e de ordem. Pode ser vinculado, tamb&eacute;m, &agrave;s cartas rogat&oacute;rias. Pode ser vinc",DIREITO PROCESSUAL CIVIL E DO TRABALHO > Objetos de cartas precatórias cíveis/de ordem > Oitiva,15,REVIEW,other,DROP,,,,off-topic branch (direito processual civil e do ),Y
11454,Desatendimento à Requisição de Veículo ou Embarcação  ,"Art. 2º - Se a utilização de veículos pertencentes às entidades previstas no Art. 1º não for suficiente para atender ao disposto nesta Lei, a Justiça Eleitoral ",DIREITO ELEITORAL > Crimes Eleitorais > Crimes contra o Serviço da Justiça Eleitoral > Desatendimento à Requisição de Veículo ou Embarcação  ,15,REVIEW,other,DROP,,,,administrative / procedural,Y
11763,Incorporação de Partidos Políticos,"Art. 29. Por decisão de seus órgãos nacionais de deliberação, dois ou mais partidos poderão fundir-se num só ou incorporar-se um ao outro. .....................",DIREITO ELEITORAL > Partidos Políticos > Incorporação de Partidos Políticos,15,REVIEW,other,DROP,,,,administrative / procedural,Y
11704,Habeas Corpus - Liberatório,"<p> Art. 5&ordm; Todos s&atilde;o iguais perante a lei, sem distin&ccedil;&atilde;o de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros resid",DIREITO PROCESSUAL PENAL > Habeas Corpus > Habeas Corpus - Liberatório,15,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
15089,Partido Político - Órgão de Direção Zonal,"<p> Art. 10. As altera&ccedil;&otilde;es program&aacute;ticas ou estatut&aacute;rias, ap&oacute;s registradas no Of&iacute;cio Civil competente, devem ser encam",DIREITO ELEITORAL > Partidos Políticos > Órgão de Direção Partidária > Partido Político - Órgão de Direção Zonal,14,DROP,party_internal,DROP,,,,administrative / procedural,
12640,Arquivamento de Procedimento Investigatório Criminal - PIC-MP,<p> Assunto usado tanto para se solicitar o arquivamento quanto para question&aacute;-lo.</p>,DIREITO PROCESSUAL PENAL > Investigação Penal > Arquivamento de Procedimento Investigatório Criminal - PIC-MP,13,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
11435,Contagem de Votos de Eleitores em Relação aos quais Houve Impugnação,Art. 318. Efetuar a mesa receptora a contagem dos votos da urna quando qualquer eleitor houver votado sob impugnação (art. 190): Pena - detenção até um mês ou p,DIREITO ELEITORAL > Crimes Eleitorais > Crimes contra a Organização Administrativa da Justiça Eleitoral > Contagem de Votos de Eleitores em Relação aos quais Houve Impugnação,13,REVIEW,other,DROP,,,,administrative impugnacao (roll / poll-worker),Y
12050,Impugnação - Identidade de Eleitor Admitido a Votar,,DIREITO ELEITORAL > Eleições > Impugnação > Impugnação - Identidade de Eleitor Admitido a Votar,12,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
10630,Transação,"<p> <small><font face=""Arial"">&nbsp;Art. 76. Havendo representa&ccedil;&atilde;o ou tratando-se de crime de a&ccedil;&atilde;o penal p&uacute;blica incondiciona",DIREITO PROCESSUAL PENAL > Ação Penal > Transação,12,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
14225,Apuração de indícios de irregularidades informados pela Administração Pública,,DIREITO ELEITORAL > Eleições > Recursos Financeiros de Campanha Eleitoral > Apuração de indícios de irregularidades informados pela Administração Pública,12,DROP,procedural,DROP,,,,FLAG: unmatched -- review,
3532,Falsificação de documento particular ,"Falsificação de documento particular Art. 298 - Falsificar, no todo ou em parte, documento particular ou alterar documento particular verdadeiro: Pena - reclusã",DIREITO PENAL > Crimes contra a Fé Pública > Falsificação de documento particular ,12,REVIEW,other,DROP,,,,falsificacao de documento particular: generic,Y
12417,Tutela de Evidência,"<p align=""justify"" class=""Artigo"" style=""color: rgb(0, 0, 0); font-family: Arial; font-size: small; text-indent: 35px;""> Art. 294. &nbsp;A tutela provis&oacute;",DIREITO PROCESSUAL CIVIL E DO TRABALHO > Tutela Provisória > Tutela de Evidência,12,REVIEW,other,DROP,,,,off-topic branch (direito processual civil e do ),Y
11715,Quociente Eleitoral/Partidário,"Art. 106. Determina-se o quociente eleitoral dividindo-se o número de votos válidos apurados pelo de lugares a preencher em cada circunscrição eleitoral, despre",DIREITO ELEITORAL > Eleições > Resultados > Quociente Eleitoral/Partidário,11,REVIEW,other,DROP,,,,administrative / procedural,Y
12965,Conflito de Competência ,<p> Envolve discuss&otilde;es sobre fixa&ccedil;&atilde;o ou altera&ccedil;&atilde;o de compet&ecirc;ncia em raz&atilde;o de prerrogativa de fun&ccedil;&atilde;,DIREITO PROCESSUAL CIVIL E DO TRABALHO > Jurisdição e Competência > Conflito de Competência ,11,REVIEW,other,DROP,,,,off-topic branch (direito processual civil e do ),Y
7929,Prisão em flagrante,<p> CPP Art. 301. Qualquer do povo poder&aacute; e as autoridades policiais e seus agentes dever&atilde;o prender quem quer que seja encontrado em flagrante del,DIREITO PROCESSUAL PENAL > Prisão em flagrante,11,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
