cod_item,nome,cod_item_pai,depth,path_codes,path_names,descricao,norma,artigo,justica_eleitoral_zonas,justica_eleitoral_tre,justica_eleitoral_tse,situacao,in_panel,anc1_code,anc1_nome,anc2_code,anc2_nome,anc3_code,anc3_nome,anc4_code,anc4_nome,anc5_code,anc5_nome,anc6_code,anc6_nome
277,Procedimentos Investigatórios,268.0,2,268/277,PROCESSO CRIMINAL > Procedimentos Investigatórios,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,277,Procedimentos Investigatórios,277,Procedimentos Investigatórios,277,Procedimentos Investigatórios,277,Procedimentos Investigatórios,277,Procedimentos Investigatórios
284,Processo Especial,268.0,2,268/284,PROCESSO CRIMINAL > Processo Especial,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,284,Processo Especial,284,Processo Especial,284,Processo Especial,284,Processo Especial,284,Processo Especial
303,Medidas Garantidoras,268.0,2,268/303,PROCESSO CRIMINAL > Medidas Garantidoras,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,303,Medidas Garantidoras,303,Medidas Garantidoras,303,Medidas Garantidoras,303,Medidas Garantidoras,303,Medidas Garantidoras
308,Medidas Cautelares,268.0,2,268/308,PROCESSO CRIMINAL > Medidas Cautelares,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,308,Medidas Cautelares,308,Medidas Cautelares,308,Medidas Cautelares,308,Medidas Cautelares,308,Medidas Cautelares
316,Questões e Processos Incidentes,268.0,2,268/316,PROCESSO CRIMINAL > Questões e Processos Incidentes,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,316,Questões e Processos Incidentes,316,Questões e Processos Incidentes,316,Questões e Processos Incidentes,316,Questões e Processos Incidentes,316,Questões e Processos Incidentes
334,Cartas,268.0,2,268/334,PROCESSO CRIMINAL > Cartas,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,334,Cartas,334,Cartas,334,Cartas,334,Cartas,334,Cartas
412,Recursos,268.0,2,268/412,PROCESSO CRIMINAL > Recursos,,,,S,S,S,A,False,268,PROCESSO CRIMINAL,412,Recursos,412,Recursos,412,Recursos,412,Recursos,412,Recursos
12729,Execução de Medidas Alternativas no Juízo Comum,385.0,2,385/12729,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS > Execução de Medidas Alternativas no Juízo Comum,"Esta classe não deve ser usada nos Juizados Especiais. Art. 28-A - não sendo caso de arquivamento e tendo o investigado confessado formal e circunstancialmente a prática de infração penal sem violência ou grave ameaça e com pena mínima inferior a 4 (quatro) anos, o Ministério Público poderá propor acordo de não persecução penal, desde que necessário e suficiente para reprovação e prevenção do crime, mediante as seguintes condições ajustadas cumulativa e alternativamente: [...] ... § 6º Homologado judicialmente o acordo de não persecução penal, o juiz devolverá os autos ao Ministério Público para que inicie sua execução perante o juízo de execução penal.",CPP,28-A,S,N,N,A,True,385,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,12729,Execução de Medidas Alternativas no Juízo Comum,12729,Execução de Medidas Alternativas no Juízo Comum,12729,Execução de Medidas Alternativas no Juízo Comum,12729,Execução de Medidas Alternativas no Juízo Comum,12729,Execução de Medidas Alternativas no Juízo Comum
386,Execução da Pena,385.0,2,385/386,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS > Execução da Pena,"Abrange as execuções de pena privativa de liberdade. Lei das Execuções Penais - Lei 7.210/1984 Art. 194. O procedimento correspondente às situações previstas nesta Lei será judicial, desenvolvendo-se perante o Juízo da execução. Art. 195. O procedimento judicial iniciar-se-á de ofício, a requerimento do Ministério Público, do interessado, de quem o represente, de seu cônjuge, parente ou descendente, mediante proposta do Conselho Penitenciário, ou, ainda, da autoridade administrativa. Art. 196. A portaria ou petição será autuada ouvindo-se, em 3 (três) dias, o condenado e o Ministério Público, quando não figurem como requerentes da medida. § 1º Sendo desnecessária a produção de prova, o Juiz decidirá de plano, em igual prazo. § 2º Entendendo indispensável a realização de prova pericial ou oral, o Juiz a ordenará, decidindo após a produção daquela ou na audiência designada. CPPM Art. 6º - Obedecerão às normas processuais previstas neste Código, no que forem aplicáveis, salvo quanto à organização de Justiça, aos recursos e à execução de sentença, os processos da Justiça Militar Estadual, nos crimes previstos na Lei Penal Militar a que responderem os oficiais e praças das Polícias e dos Corpos de Bombeiros, Militares. Art 588. A execução da sentença compete ao auditor da Auditoria por onde correu o processo, ou, nos casos de competência originária do Superior Tribunal Militar, ao seu presidente. Art 589. Será integralmente levado em conta, no cumprimento da pena, o tempo de prisão provisória, salvo o disposto no art. 268. Art 590. Todos os incidentes da execução serão decididos pelo auditor, ou pelo presidente do Superior Tribunal Militar, se fôr o caso. Art. 591. Verificando nos processos pendentes de apelação, únicamente interposta pelo réu, que êste já sofreu prisão por tempo igual ao da pena a que foi condenado, mandará o relator pô-lo imediatamente em liberdade. Art. 592. Sòmente depois de passada em julgado, será exeqüível a sentença. Art 593. O presidente, no caso de sentença proferida originariamente pelo Tribunal, e o auditor, nos demais casos, comunicarão à autoridade, sob cujas ordens estiver o réu, a sentença definitiva, logo que transite em julgado.", LEP; CPPM,194 a 196 (LEP);  588 a 593 (CPPM),S,N,N,A,True,385,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,386,Execução da Pena,386,Execução da Pena,386,Execução da Pena,386,Execução da Pena,386,Execução da Pena
1459,Seção Infracional,547.0,2,547/1459,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE > Seção Infracional,,,,N,N,N,A,False,547,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,1459,Seção Infracional,1459,Seção Infracional,1459,Seção Infracional,1459,Seção Infracional,1459,Seção Infracional
