instrument,family,outcome,coef,se,t,p,first_stage_F,tF_cv,reject_tF_5pct,nobs
no_fraude,composition,delta_nonwhite_vote_share_2024_2020,-0.0385064809930729,0.0617864354559428,-0.623219007682198,0.538785219294356,3.94068716759241,5.35210125325035,FALSE,4904
no_fraude,composition,delta_new_candidate_vote_share_2024_2020,0.16441481399298,0.139030148755278,1.18258388892602,0.248099544328199,3.81718583311265,5.58551877541709,FALSE,4904
no_fraude,composition,delta_incumbent_candidate_vote_share_2024_2020,-0.0747385889648058,0.107025397475654,-0.698325731346219,0.491418778179736,3.86748904515022,5.49044570466609,FALSE,4904
no_fraude,composition,delta_winner_is_female_2024_2020,-0.0536547758191082,0.0963571563516111,-0.556832287820116,0.582593091329759,4.02335781672392,5.21827723044676,FALSE,4904
no_fraude,composition,delta_winner_is_new_vs_2020_2024_2020,0.166770356772343,0.173212772810635,0.962806345434264,0.344865789486344,3.91395361724492,5.4026276634071,FALSE,4904
no_fraude,voter_behavior,delta_turnout_rate_2024_2020,0.0129134843583738,0.0100505904637278,1.2848483285612,0.210622772642883,3.80840368804242,5.60211702959984,FALSE,4904
no_fraude,voter_behavior,delta_null_rate_2024_2020,-0.0118879871226725,0.00684400103504879,-1.736993764582,0.0946961345677446,3.80241790650858,5.61343015669879,FALSE,4904
no_fraude,voter_behavior,delta_blank_rate_2024_2020,-0.00269651539668814,0.00400627823168172,-0.673072423019462,0.50707597735741,3.82154476418574,5.57728039568896,FALSE,4904
no_fraude,voter_behavior,delta_valid_vote_rate_2024_2020,0.0332385109810742,0.0176187295260672,1.88654414223779,0.070888902509003,3.53481393408552,6.11920166457837,FALSE,4904
no_fraude,entry,delta_share_first_time_candidates_2024_2020,0.0133011958884732,0.0966754186506524,0.137586121416641,0.891669664184419,3.9940114658711,5.25131832950362,FALSE,4904
no_fraude,entry,delta_share_serial_challenger_2024_2020,-0.0362291513066984,0.0542637363063837,-0.667649405896812,0.510474221434901,3.97562912163907,5.28606096010216,FALSE,4904
no_fraude,entry,delta_share_cross_cycle_returner_2024_2020,0.0410385963796868,0.0427948639407028,0.95896078642873,0.346761642889615,3.98236925212106,5.27332211349119,FALSE,4904
no_fraude,fragmentation,delta_effective_n_candidates_vote_2024_2020,0.234825643190627,0.123485797487618,1.90164090096412,0.0688024709631461,3.94622754126588,5.34162994700749,FALSE,4904
no_fraude,fragmentation,delta_effective_party_count_candidates_2024_2020,0.414632816405605,0.30305338895138,1.36818406103397,0.183426603876504,4.02368317984196,5.21797464274698,FALSE,4904
no_fraude,fragmentation,delta_vote_hhi_candidate_2024_2020,-0.0666559391283723,0.0426153051237063,-1.56413145312181,0.130358130250671,3.82491809993241,5.57090479112774,FALSE,4904
no_fraude,fragmentation,delta_candidate_hhi_party_2024_2020,-0.0610223816820192,0.0504399639279415,-1.20980224667083,0.237670693273096,3.88268457739801,5.46172614871776,FALSE,4904
no_fraude,fragmentation,delta_top2_vote_share_2024_2020,-0.0470434001400092,0.0213557030661431,-2.20284951491908,0.0370442974747344,3.98953773181587,5.259773686868,FALSE,4904
no_pesquisa_adv,primary,delta_runnerup_vote_share_2024_2020,0.0209640738596959,0.0404873474543586,0.517793216345643,0.609154609987795,8.98053856688495,3.02369767229186,FALSE,4860
no_pesquisa_adv,primary,delta_margin_top1_top2_2024_2020,-0.0335240894965958,0.090201122394526,-0.371659338671713,0.7132780021712,8.71040671835328,3.07502272351288,FALSE,4860
no_pesquisa_adv,secondary,delta_winner_vote_share_2024_2020,-0.0114436016701673,0.0513151751872751,-0.223006189268649,0.825342759806967,8.45858464897509,3.12286891669473,FALSE,4860
no_pesquisa_adv,secondary,delta_winner_majority_2024_2020,0.131537520804969,0.126681845928998,1.03832968205004,0.309055542100442,8.36619745758286,3.14042248305926,FALSE,4860
no_pesquisa_adv,secondary,delta_others_vote_share_2024_2020,-0.00331609554276574,0.0193471384918395,-0.171399793523184,0.865289222855343,8.42244479948895,3.1297354880971,FALSE,4860
no_pesquisa_adv,secondary,delta_log1p_n_candidates_with_votes_2024_2020,0.0978148873708766,0.132489209270861,0.73828569065503,0.467215449398029,8.58615821983991,3.09862993823042,FALSE,4860
no_pesquisa_adv,composition,delta_female_vote_share_2024_2020,-0.0438704346080111,0.0673548837033929,-0.65133264576925,0.520774595392121,8.6799513554474,3.08080924246499,FALSE,4860
no_pesquisa_adv,composition,delta_female_share_2024_2020,-0.0820593018899402,0.0588084220169805,-1.39536649812243,0.175177862194595,8.6746138778049,3.08182336321707,FALSE,4860
no_pesquisa_adv,composition,delta_nonwhite_vote_share_2024_2020,-0.101774276179787,0.0667746636954226,-1.52414509557108,0.140023875959941,8.75856860144416,3.06587196572561,FALSE,4860
no_pesquisa_adv,composition,delta_new_candidate_vote_share_2024_2020,-0.110575437674951,0.120760609109713,-0.915658164447414,0.36859456649977,8.57987118895993,3.09982447409761,FALSE,4860
