variant,spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F_lookup,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
adversarial,baseline_state_fe,elected_comp,delta_elected_mean_age_2024_2020,0.0392276393280961,0.576098527637449,0.0680918930464321,0.945718711131275,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-1.22154406816448,1.29999934682068,FALSE
adversarial,baseline_state_fe,elected_comp,delta_incumbent_reelected_share_2024_2020,0.00640251642143388,0.0249450062969157,0.256665255772074,0.797461348172418,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0481887673149616,0.0609938001578294,FALSE
adversarial,baseline_state_fe,party_comp,delta_party_count_2024_2020,-0.259870236663563,0.354214974140884,-0.733651188219397,0.463240028135029,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-1.03505745958264,0.515316986255514,FALSE
adversarial,baseline_state_fe,party_comp,delta_coalition_count_2024_2020,0.0738862888625471,0.0664549761041608,1.111824775119,0.26633575834279,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0715481284719628,0.219320706197057,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_log1p_total_candidates_2024_2020,-0.0803906741421179,0.0428316209896961,-1.87690010988511,0.0606738498235539,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.176237264378821,0.0154559160945849,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_female_share_2024_2020,-0.00654189809211514,0.0065846080427451,-0.993513668489802,0.32057705945186,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0212766247814018,0.00819282859717156,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_nonwhite_share_2024_2020,-0.0179142328253365,0.0196403017473044,-0.912115967250617,0.361815025401255,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0618643778397393,0.0260359121890663,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_new_candidate_share_2024_2020,-0.0216593778776511,0.0166083764634182,-1.30412373089918,0.192337948656229,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0588248228597379,0.0155060671044357,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_incumbent_candidate_share_2024_2020,-0.00476578881318013,0.0106019551910544,-0.449519803403935,0.653104293963768,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0284903463112336,0.0189587686848734,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_effective_party_count_candidates_2024_2020,-0.379697312920547,0.302126625428067,-1.25674892897166,0.208987881392062,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-1.05578208855787,0.296387462716781,FALSE
adversarial,baseline_state_fe_sz,candidate_pool,delta_candidate_hhi_party_2024_2020,0.00980107510071135,0.0120881724455197,0.81079874934643,0.417575461868299,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0172492695821353,0.036851419783558,FALSE
adversarial,baseline_state_fe_sz,elected_comp,delta_elected_female_share_2024_2020,0.0132091520783922,0.023166681397572,0.570178863847828,0.568618933397774,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0386321597316721,0.0650504638884565,FALSE
adversarial,baseline_state_fe_sz,elected_comp,delta_elected_nonwhite_share_2024_2020,-0.0276496875937503,0.0270924482757758,-1.02056806798346,0.307579663951469,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0882758961844089,0.0329765209969084,FALSE
adversarial,baseline_state_fe_sz,elected_comp,delta_elected_higher_ed_share_2024_2020,0.00389352069427822,0.0267032377670882,0.145807063856391,0.884088048347881,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0558617308959212,0.0636487722844776,FALSE
adversarial,baseline_state_fe_sz,elected_comp,delta_elected_mean_age_2024_2020,-0.101242640176448,0.621876513517328,-0.162801839233035,0.870690521656903,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-1.49284870111128,1.29036342075838,FALSE
