election_year,classe,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2024,AÇÃO PENAL ELEITORAL,1304,0.0011111575040198508,0.0009532572842438783,795,0.0028868931705517725,0.0006134566088995026,0.04316546762589928,0.0009491444986482363,0.0016249846232713166,14.3
2024,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,989,0.0008427413891684298,0.0006543194785127736,438,0.0009968183078334616,2.314546927438954e-05,0.007194244604316547,0.0002551882683597986,0.001233564206367217,7.9
2024,CARTA DE ORDEM CÍVEL,622,0.0005300153125002663,0.0003892508451960315,341,0.0007384561589071254,4.012036108324975e-05,0.007194244604316547,0.00013668662645216213,0.0006095262404740119,6.1
2024,CARTA PRECATÓRIA CRIMINAL,587,0.0005001912997389973,0.00032181516836811836,260,0.0022112711338848462,9.500285008550257e-05,0.04316546762589928,0.0002822773714168808,0.0007918180787521855,4.7
2024,PROCESSO ADMINISTRATIVO,578,0.0004925222678860995,0.00034395587077364683,220,0.0010315460406709917,2.0703076477164508e-05,0.014631563748375608,0.00010216733045288123,0.0007137134223343972,4.0
2024,TUTELA CAUTELAR ANTECEDENTE,550,0.0004686630576770843,0.00041156386066794993,401,0.000579558637678029,8.176614881439084e-05,0.0013069578893737679,0.00037032750839023263,0.000715792646172393,7.2
2024,CANCELAMENTO DE INSCRIÇÃO ELEITORAL (CIE),515,0.0004388390449158153,0.00037663662505963737,143,0.0014550866767996913,2.0703076477164508e-05,0.014388489208633094,0.00012811798425051843,0.00042814681105239236,2.6
2024,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,468,0.00039878965635068266,0.0004635313770486333,355,0.0004915356342411382,8.474396728882862e-05,0.00142602495543672,0.00022881078237958102,0.000768884518834499,6.4
2024,TUTELA ANTECIPADA ANTECEDENTE,466,0.0003970854270500387,0.00035116893375496805,347,0.0004541105667679281,0.00016268980477223427,0.0009968322885054162,0.0002715961643590349,0.0005801038294605637,6.2
2024,LISTA DE APOIAMENTO PARA CRIAÇÃO DE PARTIDO POLÍTICO,370,0.0003152824206191295,0.00011757087250285135,134,0.0056509290624129635,2.215182863345369e-05,0.11510791366906475,4.7600362218237804e-05,0.0002939622307871876,2.4
2024,MANDADO DE SEGURANÇA CÍVEL,359,0.00030590915946558775,0.00023480880220101772,273,0.00033228452765099865,0.00010594342621040364,0.0012437311935807422,0.00023873316692484166,0.00036483821556676537,4.9
2024,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),297,0.00025307805114562555,0.00020230026200492745,155,0.0004533031471448735,4.813014390913029e-05,0.005411906193625977,0.00012961361965646578,0.000308480328790029,2.8
2024,PETIÇÃO CRIMINAL,266,0.00022666249698564443,0.00013984483464444657,132,0.0003395534783091715,2.215182863345369e-05,0.001925777331995988,8.335940945878125e-05,0.0002961961071159181,2.4
2024,AUTO DE PRISÃO EM FLAGRANTE,190,0.0001619017835611746,0.00013269295091516726,145,0.0004694488477406627,1.059002313920056e-05,0.004257450538442274,8.020532563362207e-05,0.0003850411512730423,2.6
2024,CUMPRIMENTO PROVISÓRIO DE SENTENÇA,180,0.00015338063705795486,4.6577765479549354e-05,56,0.00012039817623180375,1.6885806916426514e-05,0.0006883515040480363,2.385439278643162e-05,0.00014250427512825384,1.0
2024,PEDIDO DE BUSCA E APREENSÃO CRIMINAL,134,0.00011418336314314418,9.701753441865397e-05,100,0.00019332117469731514,5.29501156960028e-06,0.0007513148009015778,6.940060434692635e-05,0.00027292757158861445,1.8
2024,CAUTELAR INOMINADA CRIMINAL,109,9.28804968850949e-05,7.523206600538254e-05,67,0.0002813892319965172,1.059002313920056e-05,0.002504382669671926,6.210922943149352e-05,0.0001294578530259366,1.2
2024,IMPUGNAÇÃO PERANTE AS JUNTAS ELEITORAIS,102,8.691569433284109e-05,0.00011844458633675757,73,0.00013247615578261478,2.385439278643162e-05,0.0004813014390913029,4.565987849629156e-05,0.00016719458531462152,1.3
