A,nat_share,cv,n_states,dim
PROPAGANDA POLITICA - PROPAGANDA PARTIDARIA,0.0001657175978537248,0.9460007078372377,23,assunto
ALISTAMENTO ELEITORAL - INSCRICAO ELEITORAL,0.00016378164460777007,1.6749274512051973,25,assunto
ELEICOES - ELEICAO PROPORCIONAL,0.00016029692876505156,1.3992900807575155,24,assunto
PROVIDENCIA,0.0001599097381158606,0.6168273854211663,25,assunto
DIREITO ELEITORAL,0.0001564250222731421,0.8273111345826901,19,assunto
ALISTAMENTO ELEITORAL - DUPLICIDADE/PLURALIDADE,0.00015177873448285074,1.221912047670715,23,assunto
APROPRIACAO INDEBITA ELEITORAL,0.00015022997188608695,2.5257035257092575,27,assunto
ACORDO DE NAO PERSECUCAO PENAL,0.0001471324466925594,3.983733565512818,25,assunto
CRIMES CONTRA A PROPAGANDA ELEITORAL,0.0001471324466925594,1.1697315920527538,23,assunto
CONDICAO DE ELEGIBILIDADE - FILIACAO PARTIDARIA,0.00014674525604336844,3.4200068474818006,27,assunto
DOACAO DE RECURSOS ACIMA DO LIMITE LEGAL,0.00014442211214822276,1.2590644632869146,17,assunto
PROCESSAMENTO DE RECURSO CONTRA EXPEDICAO DE DIPLOMA,0.00013512953656764006,0.8135295278203583,25,assunto
EXECUCAO - DE MULTA ELEITORAL,0.00013396796462006723,1.1245291823647618,20,assunto
TRANSACAO PENAL,0.00012932167682977588,0.9917398095348976,20,assunto
CRIMES CONEXOS,0.00012119067319676603,1.1932196815781342,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - INVASAO DE HORARIO DESTINADO A OUTRO CARGO/PARTIDO/COLIGACAO,0.00011344686021294711,1.1529913775767673,24,assunto
ELEICOES - ELEICAO MAJORITARIA,0.00011267247891456523,3.382202009619781,21,assunto
PESQUISA FRAUDULENTA,0.00010957495372103766,0.5224331950614886,25,assunto
FALSIFICACAO OU ALTERACAO DE DOCUMENTO PUBLICO PARA FINS ELEITORAIS,0.00010028237814045496,3.7440061154718434,25,assunto
FALSIFICACAO OU ALTERACAO DE DOCUMENTO PARTICULAR PARA FINS ELEITORAIS,9.679766229773644e-05,3.171472947499551,24,assunto
CAUTELAR INOMINADA - DE PRODUCAO ANTECIPADA DE PROVAS,9.486170905178171e-05,0.9922881960043237,26,assunto
IMPUGNACAO - NOMEACAO DE MEMBRO DA MESA RECEPTORA,9.292575580582699e-05,1.1205754450277068,19,assunto
PROMOCAO DE DESORDEM NOS TRABALHOS ELEITORAIS,9.176418385825415e-05,0.591679685462059,24,assunto
VIOLENCIA OU GRAVE AMEACA VISANDO A OBTENCAO DE VOTO OU A SUA ABSTENCAO,9.060261191068132e-05,1.021598511197198,22,assunto
CRIMES CONTRA O SIGILO OU O EXERCICIO DO VOTO,8.944103996310848e-05,0.5301556906852412,21,assunto
DIPLOMACAO,8.673070541877185e-05,1.0378943053550476,25,assunto
DIVULGACAO DE FALSA IMPUTACAO,8.556913347119901e-05,1.1697646042723373,23,assunto
CAUTELAR INOMINADA - PREPARATORIA,8.518194282200807e-05,0.88603616567975,24,assunto
CAUTELAR INOMINADA - DE BUSCA E APREENSAO,8.169722697928956e-05,0.9954778860365988,25,assunto
REQUERIMENTOS RELATIVOS AO HORARIO ELEITORAL GRATUITO,7.976127373333482e-05,0.904564879149223,24,assunto
COVID-19,7.976127373333482e-05,0.8140582991872714,19,assunto
CONTAS,7.859970178576199e-05,1.0234934878779318,22,assunto
IMPEDIMENTO DO EXERCICIO DA PROPAGANDA,7.821251113657105e-05,0.5489641320300516,24,assunto
"INUTILIZACAO, ALTERACAO OU PERTURBACAO DE PROPAGANDA",7.666374853980727e-05,0.9267236423697932,21,assunto
INJURIA,7.588936724142537e-05,0.7482964415940936,25,assunto
DILIGENCIAS,7.434060464466159e-05,0.8442522566784685,23,assunto
TUTELA DE URGENCIA,7.434060464466159e-05,0.6442171495801857,21,assunto
CAUTELAR INOMINADA - INCIDENTAL,7.046869815275213e-05,1.1613343078622305,23,assunto
CRIMES CONTRA A FE PUBLICA ELEITORAL,6.930712620517929e-05,1.2804520962297825,25,assunto
LIMINAR,6.737117295922457e-05,0.6404633840387383,24,assunto
IRREGULARIDADES DOS DADOS PUBLICADOS EM PESQUISAS ELEITORAIS,6.698398231003361e-05,0.6904752882833733,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - CAVALETE,6.698398231003361e-05,0.608945118374088,20,assunto
ALTERACAO DO RESULTADO DE VOTACAO NOS MAPAS OU BOLETINS DE APURACAO,6.620960101165173e-05,0.7792467098188243,25,assunto
RECURSOS FINANCEIROS DE CAMPANHA ELEITORAL,6.50480290640789e-05,3.085058450073235,18,assunto
EXCECAO - DE SUSPEICAO,6.388645711650606e-05,1.0014075098352446,22,assunto
NULIDADE DE ATO ADMINISTRATIVO,6.272488516893322e-05,0.9316207535589465,21,assunto
VEICULACAO DE PROPAGANDA PARTIDARIA - EM INSERCOES,6.272488516893322e-05,0.7611426434872255,22,assunto
IMPEDIMENTO OU EMBARACO AO EXERCICIO DO SUFRAGIO,6.233769451974226e-05,1.0719569952091321,22,assunto
CORRUPCAO OU FRAUDE,6.195050387055132e-05,1.428288062781113,22,assunto
SUBSCRICAO DE MAIS DE UMA FICHA DE FILIACAO PARTIDARIA,6.0014550624596596e-05,1.1965843634787772,19,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - PINTURA EM MURO,5.885297867702376e-05,1.177491606061272,21,assunto
OITIVA,5.807859737864187e-05,4.380530690062387,22,assunto
AMEACA,5.807859737864187e-05,3.262541832039546,23,assunto
INELEGIBILIDADE - DESINCOMPATIBILIZACAO,5.343230958835052e-05,0.6431530678538352,23,assunto
TRANSACAO,5.304511893915957e-05,4.535054141387665,24,assunto
PARTIDO POLITICO - COMISSAO PROVISORIA,5.1883546991586734e-05,1.5247402567607131,17,assunto
ELEICOES - 2° TURNO,5.07219750440139e-05,1.6281432267184741,16,assunto
EXECUCAO DE JULGADO,4.762444985048633e-05,3.3526063669732125,21,assunto
CONDICIONAL DO PROCESSO,4.762444985048633e-05,4.096749019839232,25,assunto
COLIGACAO PARTIDARIA - PROPORCIONAL,4.762444985048633e-05,0.9718621976062468,22,assunto
REGISTRO DE CANDIDATURA - SUBSTITUICAO DE CANDIDATO - POR INDEFERIMENTO DE REGISTRO,4.7237259201295385e-05,0.8683055264309849,24,assunto
AUTORIZACAO DE TRANSMISSAO DE PESSOA NAO DETENTORA DE DIREITOS POLITICOS EM ATIVIDADES PARTIDARIAS E DE PROPAGANDA ELEITORAL,4.7237259201295385e-05,0.4958930821259549,22,assunto
IMPROBIDADE ADMINISTRATIVA,4.3365352709385924e-05,0.6807598452785036,22,assunto
VIOLENCIA CONTRA A MULHER CANDIDATA OU NO EXERCICIO DO MANDATO ELETIVO,4.1816590112622146e-05,1.0008855113045603,20,assunto
ELEICOES - ELEICAO SUPLEMENTAR,4.026782751585836e-05,0.7321522197621742,22,assunto
BUSCA E APREENSAO DE BENS,3.7944683620712686e-05,1.2584357592340727,18,assunto
ALICIAMENTO ELEITORAL,3.678311167313985e-05,1.0134259450965006,18,assunto
CONDICAO DE ELEGIBILIDADE - PLENO EXERCICIO DOS DIREITOS POLITICOS,3.678311167313985e-05,0.5959654605652427,22,assunto
CONCENTRACAO DE ELEITORES PARA EMBARACAR OU FRAUDAR O EXERCICIO DO VOTO,3.523434907637606e-05,0.6454933616029351,22,assunto
DESCUMPRIMENTO DE PRAZOS ELEITORAIS,3.484715842718512e-05,1.3482409201901993,20,assunto
VICIOS FORMAIS DA SENTENCA,3.4459967777994173e-05,0.8809049499262326,18,assunto
ERRO DE PROCEDIMENTO,3.3685586479612284e-05,0.9572421467109944,20,assunto
IMPUGNACAO - INSCRICAO ELEITORAL,3.3685586479612284e-05,1.458175442416333,18,assunto
"USO, NA PROPAGANDA ELEITORAL, DE SIMBOLO DE ORGAOS DE GOVERNO",3.174963323365755e-05,0.5669432250019416,17,assunto
APURACAO DE INDICIOS DE IRREGULARIDADES INFORMADOS PELA ADMINISTRACAO PUBLICA,3.136244258446661e-05,1.0668744006712276,22,assunto
DIREITOS POLITICOS - RESTABELECIMENTO DOS DIREITOS POLITICOS,3.058806128608471e-05,0.7436939448923983,20,assunto
NAO-ACESSO DOS PARTIDOS AOS DADOS RELATIVOS AS PESQUISAS ELEITORAIS,3.0200870636893772e-05,0.7868003943755526,21,assunto
INJURIA ELEITORAL VIOLENTA,3.0200870636893772e-05,1.134165957204373,19,assunto
VOTACAO MULTIPLA OU REALIZADA EM LUGAR DE OUTREM,3.0200870636893772e-05,0.7497499138859359,20,assunto
INTERROGATORIO,2.942648933851188e-05,0.8529619799277187,16,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - RADIO COMUNITARIA,2.942648933851188e-05,0.724237943106896,20,assunto
DENUNCIACAO CALUNIOSA PARA FINS ELEITORAIS,2.7103345443366204e-05,3.688660179162721,19,assunto
NOME DO CANDIDATO - VARIACAO NOMINAL,2.5554582846602422e-05,0.7424569863630925,18,assunto
OBTENCAO DE DOCUMENTO FALSO PARA FINS ELEITORAIS,2.4393010899029585e-05,0.8956783641899055,16,assunto
ARGUICAO DE INELIGIBILIDADE TEMERARIA OU DE MA-FE,2.4005820249838637e-05,0.5989298515040036,17,assunto
INELEGIBILIDADE - REJEICAO DE CONTAS PUBLICAS,2.4005820249838637e-05,0.9269865000098432,21,assunto
VIOLACAO DO SIGILO DA URNA OU DOS INVOLUCROS,2.3231438951456748e-05,0.7248680164865354,17,assunto
"PRISAO OU DETENCAO DO ELEITOR, MEMBRO DE MESA RECEPTORA, FISCAL, DELEGADO DE PARTIDO OU CANDIDATO, FORA DAS HIPOTESES LEGAIS PERMITIDAS",2.28442483022658e-05,1.4934364849999047,19,assunto
