election_year,assunto,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2020,Registro de Comitê Financeiro - Único,10,7.097111191860465e-06,7.560050411953124e-06,9,4.8701317374384396e-05,4.433705025604646e-06,0.00020100502512562814,1.1735921982337677e-05,4.5455138343435114e-05,0.2
2020,Desobediência,10,7.097111191860465e-06,5.0497328375663285e-06,9,3.529512465992643e-05,1.292841536412882e-05,8.842254185333648e-05,1.807693991514424e-05,4.029238356779023e-05,0.2
2020,Quebra do Sigilo Telefônico,9,6.387400072674419e-06,6.0161759373546344e-06,9,2.3126930047973553e-05,1.1896972220569864e-05,4.462094507161662e-05,1.4383928713526375e-05,2.845747283088609e-05,0.2
2020,Cumprimento Provisório de Sentença,9,6.387400072674419e-06,3.27144564865659e-06,9,7.902438880800777e-05,5.032206119162641e-06,0.00020100502512562814,1.8034070649197583e-05,0.00011602048015243034,0.2
2020,Alistamento Eleitoral - Fraude,9,6.387400072674419e-06,5.216100842173782e-06,9,1.6830928819301402e-05,8.867410051209293e-06,3.054974261841844e-05,9.71559621526316e-06,2.4964305168145298e-05,0.2
2020,Coligação Partidária - Majoritária,9,6.387400072674419e-06,7.50217082648738e-06,9,2.7946112169352657e-05,4.433705025604646e-06,6.873324627122139e-05,1.015353871418593e-05,4.1475054022559557e-05,0.2
2020,Votação de Eleitor na Seção Eleitoral na qual Não Está Inscrito ou Autorizado a Votar,9,6.387400072674419e-06,5.709023223784501e-06,8,2.5333935228816376e-05,4.433705025604646e-06,5.516632647432007e-05,1.1496413801227052e-05,3.621710748176376e-05,0.1
2020,Leve,9,6.387400072674419e-06,7.890129265690287e-06,7,3.093064476910735e-05,1.527487130920922e-05,5.516632647432007e-05,1.7734820102418585e-05,3.7500937523438084e-05,0.1
2020,Desatendimento à Requisição de Veículo ou Embarcação,9,6.387400072674419e-06,9.698134500534016e-06,9,3.3900563864252135e-05,9.599324207575787e-06,5.679666792881484e-05,1.7097288509043867e-05,4.496948333733607e-05,0.2
2020,Doação de Recursos Acima do Limite Legal - Pessoa Jurídica,8,5.677688953488372e-06,2.1207694386197897e-06,8,1.4087717588405386e-05,1.0064412238325282e-05,2.1088370817912464e-05,1.143883222500872e-05,1.524792901208857e-05,0.1
2020,Induzimento à Inscrição de Eleitor em Infração às Normas Legais,8,5.677688953488372e-06,1.108061819154287e-05,8,4.392246225049254e-05,5.032206119162641e-06,0.00013539128080151638,1.9760226922553512e-05,4.848177618462165e-05,0.1
2020,Exceção - De Impedimento,8,5.677688953488372e-06,3.3723849093522512e-06,7,1.3729942797232796e-05,5.032206119162641e-06,1.8439637845512713e-05,1.30215902923001e-05,1.6871276128729384e-05,0.1
