SG_UF,SG_UE,NM_UE,bartik_iv_no_rrc,dominant_topic_share_no_rrc,share_hhi_no_rrc,avg_shock_equal_weight,avg_abs_shock_equal_weight,n_topics_no_rrc,baseline_lawsuits_no_rrc_2020
MT,90328,SANTO AFONSO,-0.1844661779552542,0.5491803278688525,0.3919645256651437,-0.07597236010634603,0.290053964124693,13.0,122.0
MT,90336,BARRA DO BUGRES,-0.240445678699727,0.8601190476190477,0.7514526643990931,-0.06917842434591037,0.19106092595275825,9.0,336.0
MT,90344,PLANALTO DA SERRA,-0.1835030123395216,0.5074626865671642,0.30541323234573403,-0.19610763422596664,0.2747403991668852,14.0,67.0
MT,90352,BARRA DO GARÇAS,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,90360,NOVA MONTE VERDE,-0.1206237882667042,0.6078431372549019,0.40868896578239133,-0.1100227976490385,0.2616006719998231,9.0,51.0
MT,90387,NOVA BANDEIRANTES,-0.1206237882667042,0.6078431372549019,0.40868896578239133,-0.1100227976490385,0.2616006719998231,9.0,51.0
MT,90409,SÃO PEDRO DA CIPA,-0.1538348864452502,0.5238095238095238,0.3061224489795918,-0.15355151515968693,0.3686292622624885,15.0,63.0
MT,90425,COTRIGUAÇU,-0.1816947239608616,0.5116279069767442,0.33910221741481883,-0.2527869503875263,0.3611215430385154,7.0,43.0
MT,90441,RIBEIRÃOZINHO,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,90468,BRASNORTE,-0.0150729382050905,0.30303030303030304,0.19191919191919193,-0.09167737504951902,0.1903341813027693,9.0,33.0
MT,90476,CÁCERES,-0.1673416572591961,0.4915254237288136,0.2833955759839127,-0.1941096668057581,0.2787911059729012,13.0,118.0
MT,90484,CAMPO NOVO DO PARECIS,0.0593397007325751,0.4,0.2266666666666667,-0.05482090001522559,0.2488453883161264,10.0,30.0
