"ano","sigla_uf","nome_municipio","n_polls"
2012,"PE","Jaboatão dos Guararapes",2
2012,"ES","Vitória",13
2012,"SP","Franca",6
2012,"SP","Piracicaba",3
2012,"MG","Uberaba",7
2012,"ES","Cariacica",10
2016,"SP","Mauá",4
2016,"SP","Ribeirão Pires",3
2016,"SP","São Bernardo do Campo",14
2016,"MA","Timon",3
2016,"SP","São Caetano do Sul",2
2016,"SP","Rio Grande da Serra",2
2016,"RJ","Rio de Janeiro",38
2016,"MA","Caxias",2
2016,"ES","Vila Velha",6
2016,"ES","Linhares",1
2016,"ES","Cachoeiro de Itaperimim",1
2016,"ES","Viana",1
2016,"ES","Cariacica",5
2016,"ES","Vitória",13
2016,"PR","Cascavél",4
2016,"SP","São José do Rio Preto",4
2016,"MG","Uberlândia",6
2020,"SP","Santos",9
2020,"SP","Jundiaí",2
2008,"SP","Botucatu",3
2008,"SP","Jacareí",4
2008,"GO","Goiânia",12
2008,"ES","Cachoeiro do Itapemirim",1
2008,"ES","Vila Velha",4
2016,"SP","São Paulo",24
2020,"SC","Blumenau",3
2024,"GO","Luziânia",1
2020,"SE","Aracaju",8
2004,"RS","São Leopoldo",1
2008,"RS","Santa Maria",3
2008,"MS","Campo Grande",4
2008,"RS","Pelotas",2
2008,"MS","Dourados",4
2008,"RS","Caxias do Sul",4
2008,"RS","Canoas",3
2008,"BA","Salvador",19
2012,"SP","São Vicente",5
2012,"SP","Mongaguá",1
2012,"SP","Guarujá",7
2012,"SP","Peruíbe",1
2012,"SP","Itanhaém",1
2012,"BA","Salvador",10
2012,"CE","Fortaleza",17
2012,"RJ","Rio de Janeiro",15
2012,"SP","São Paulo",34
2012,"AL","Maceió",7
2012,"RN","Natal",17
2012,"PR","Curitiba",19
2012,"RJ","São João de Meriti",1
2012,"RJ","São Gonçalo",4
2016,"CE","Fortaleza",18
2016,"MG","Juiz de Fora",9
2016,"AL","Maceió",14
2016,"SP","Praia Grande",1
2016,"SP","São Vicente",1
2016,"SP","Guarujá",2
2016,"MG","Montes Claros",6
2020,"AC","Rio Branco",8
2020,"SP","São Paulo",38
2020,"PE","Recife",21
2020,"MG","Belo Horizonte",20
2020,"PA","Belém",8
2020,"PR","Curitiba",4
2020,"RS","Porto Alegre",12
2020,"RR","Boa Vista",5
2020,"RN","Natal",10
2020,"SP","Guarulhos",7
2020,"RJ","Campos dos Goytacazes",3
2020,"PR","Ponta Grossa",1
2020,"SP","Praia Grande",1
2020,"SP","Campinas",8
2020,"MG","Uberaba",1
2020,"RJ","Niterói",1
2020,"BA","Salvador",14
2020,"TO","Palmas",8
2020,"SP","São Bernardo do Campo",2
2020,"BA","Feira de Santana",2
2020,"SP","Itaquaquecetuba",1
2020,"SP","Santo André",1
2020,"SP","Osasco",1
2024,"AL","Maceió",3
2024,"SP","São Paulo",5
2024,"RN","Natal",6
2024,"GO","Goiânia",7
2024,"MT","Cuiabá",7
2024,"TO","Palmas",1
2024,"MA","São Luís",2
2008,"PE","Recife",12
2016,"MG","Belo Horizonte",38
2008,"PR","Curitiba",11
2016,"PB","Campina Grande",3
2008,"SP","Araçatuba",2
2008,"SP","Osasco",4
2008,"TO","Palmas",8
2008,"GO","Anápolis",5
2012,"GO","Aparecida de Goiânia",4
2012,"GO","Goiânia",14
2012,"SC","Blumenau",8
2004,"MS","Dourados",2
2008,"GO","Caldas Novas",1
2016,"ES","Colatina",1
2020,"SC","Joinville",2
2004,"AL","Maceió",7
2004,"MS","Campo Grande",5
2004,"PE","Caruaru",6
2004,"SP","Barueri",4
2004,"SP","Cotia",4
2016,"GO","Anápolis",5
2016,"SP","Bauru",3
2016,"SP","Jundiaí",3
2008,"PE","Jaboatão dos Guararapes",3
2004,"MG","Juiz de Fora",8
2004,"MG","Uberlândia",6
2008,"MT","Cuiabá",8
2008,"MT","Várzea Grande",3
2008,"MA","São Luís",5
2008,"PE","Olinda",3
2012,"SP","São Caetano do Sul",9
2016,"AL","Palmeira dos Índios",1
2024,"MT","Campo Grande",1
2008,"PI","Teresina",6
2012,"MG","Uberlândia",6
2008,"ES","Vitória",6
2016,"SP","Campinas",5
2020,"SP","São José dos Campos",3
2020,"PR","Maringá",3
2012,"SP","Campinas",7
2024,"BA","Salvador",1
2024,"SP","Campinas",2
2012,"ES","Serra",5
2012,"PR","Maringá",7
2020,"RJ","Rio de Janeiro",29
2024,"AM","Manaus",5
2008,"CE","Fortaleza",13
2004,"MA","Imperatriz",3
2004,"MG","Varginha",3
2004,"SP","Bauru",4
2004,"SP","Rio Claro",4
2004,"SP","Suzano",1
2004,"SP","São José dos Campos",6
2004,"SP","Itapevi",1
2004,"CE","Crato",2
2004,"SP","São Vicente",3
2014,"SP","Guarujá",4
2004,"PE","Petrolina",4
2004,"SP","Cubatão",3
2008,"SP","Diadema",6
2008,"SP","Mauá",6
2008,"SP","Santo André",6
2008,"SP","São Bernardo do Campo",9
2008,"SP","São Caetano do Sul",6
2008,"SP","Cubatão",2
2008,"PB","Campina Grande",3
2008,"PR","Cascavél",2
2008,"SP","Sorocaba",4
2008,"SP","Taubaté",4
2008,"AC","Rio Branco",2
2008,"PA","Belém",7
2008,"CE","Juazeiro do Norte",1
2008,"MG","Juiz de Fora",3
2008,"MG","Varginha",2
2008,"SP","Araraquara",3
2008,"SP","Taboão da Serra",1
2008,"MS","Corumbá",2
2008,"PR","Umuarama",2
2008,"RJ","Campos dos Goytacazes",3
2008,"SP","Franca",4
2008,"SP","Piracicaba",3
2008,"SP","Registro",2
2008,"SP","Santos",4
2008,"SC","Florianópolis",6
2008,"SP","Bauru",2
2008,"SP","Mogi das Cruzes",3
2008,"SP","São José do Rio Preto",3
2008,"SP","Itapetininga",2
2008,"AM","Manaus",10
2008,"MG","Poços de Caldas",3
2008,"PA","Tucuruí",1
2008,"PR","Maringá",3
2008,"SP","Campinas",4
2008,"SP","Ribeirão Preto",4
2008,"RJ","Niterói",4
2008,"RN","Natal",5
2008,"SP","Rio Claro",1
2008,"PB","João Pessoa",4
2008,"SP","São Vicente",4
2008,"MT","Sinop",3
2008,"SP","Guarujá",6
2008,"PR","Foz do Iguaçu",3
2008,"SP","Praia Grande",2
2008,"AP","Macapá",4
2012,"PR","Ponta Grossa",7
2012,"SP","Jundiaí",2
2012,"SP","Ribeirão Preto",5
2012,"SP","São José dos Campos",4
2012,"RR","Boa Vista",3
2016,"SP","Ribeirão Preto",6
2016,"AP","Macapá",5
2016,"RR","Boa Vista",3
2016,"SC","Florianópolis",9
2016,"BA","Feira de Santana",2
2016,"SP","São José dos Campos",3
2020,"MA","São Luís",13
2002,"RS","Porto Alegre",1
2020,"CE","Caucaia",3
2020,"SC","Florianópolis",3
2024,"PR","Curitiba",2
2020,"RO","Porto Velho",10
2012,"RO","Porto Velho",14
2024,"PA","Belém",7
2024,"CE","Fortaleza",3
2024,"RS","Porto Alegre",2
2012,"RJ","Campos dos Goytacazes",4
2024,"AP","Macapá",1
2004,"SP","Osasco",4
2004,"GO","Anápolis",3
2004,"AL","Arapiraca",1
2004,"PE","Olinda",1
2008,"AL","Rio Largo",1
2008,"PA","Santarém",1
2012,"RN","Mossoró",1
2012,"BA","Vitória da Conquista",2
2020,"GO","Anápolis",3
2020,"GO","Aparecida de Goiânia",2
2020,"AP","Macapá",6
2020,"RJ","Duque de Caxias",1
2012,"ES","Vila Velha",8
2016,"BA","Vitória da Conquista",5
2020,"PB","João Pessoa",5
2024,"RJ","Rio de Janeiro",5
2024,"PE","Recife",3
2024,"AC","Rio Branco",2
2008,"RJ","São João de Meriti",1
2020,"SP","Taubaté",2
2020,"ES","Recife",1
2004,"SP","Mogi das Cruzes",6
2020,"SP","Bauru",1
2020,"RS","Santa Maria",1
2024,"RO","Porto Velho",1
2004,"SP","Taboão da Serra",1
2004,"SP"," Zona Eleitoral""",1
2004,"AC","Rio Branco",3
2004,"MG","Betim",1
2004,"RJ","Niterói",5
2004,"MT","Rondonópolis",4
2004,"RS","Caxias do Sul",8
2004,"RJ","Campos dos Goytacazes",2
2004,"RJ","Nova Iguaçu",4
2004,"SP","Guarulhos",3
2004,"RJ","São Gonçalo",3
2004,"RJ","Duque de Caxias",4
2004,"MT","Várzea Grande",3
2004,"PA","Ananindeua",2
2004,"RJ","Macaé",1
2004,"MG","Montes Claros",5
2004,"SP","Itapetininga",3
2004,"SP","Praia Grande",3
