SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,code_micro,name_micro,log_pop_2010,urban_share_2010,log_income_pc_2010,share_first_time_candidates_2020,mean_prior_candidacies_2020,share_prior_winners_2020,share_career_politicians_2020,turnout_rate_2020,abstention_rate_2020,blank_share_2020,null_share_2020,incumbent_ran_2024,incumbent_won_2024,party_switch_2024
GO,96717,ARENÓPOLIS,1,1.0,1.0,1.0,1.0,PMDB,90000009069,FLÁVIO JÚNIOR VILELA,52003,Aragarças,8.09285102753838,0.0,0.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.0,0.9022671568627452,0.0977328431372549,0.0044142614601018,0.0196943972835314,1.0,0.0,1.0
GO,96733,CACHOEIRA DOURADA,2,0.688575361321404,0.3771507226428079,0.5711213337949961,1.7509414214229824,PRB,90000007550,NATALIA CAMARDELLI CAJAZEIRA PRATES,52015,Meia Ponte,9.0177260256968,0.0,0.0,0.6923076923076923,0.3076923076923077,0.1538461538461538,0.0,0.8138546536336592,0.1861453463663408,0.0100957354221061,0.027154046997389,0.0,0.0,0.0
GO,96750,DOVERLÂNDIA,3,0.3940685820203892,0.0811862835959221,0.3390631664749824,2.949302958491023,PMDB,90000007782,ZILDA DE REZENDE ARAUJO MACHADO,52013,Sudoeste de Goiás,8.94089106778546,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0,0.8488372093023255,0.1511627906976744,0.0066478646253021,0.0231668009669621,0.0,0.0,1.0
GO,96776,SANTO ANTÔNIO DO DESCOBERTO,3,0.8603923456492959,0.7887431299394231,0.7500269479462369,1.3332854275946382,PMDB,90000022521,ADOLPHO ROBERTO SOUZA VON LOHRMANN,52012,Entorno de Brasília,11.0520322099524,0.0,0.0379875202818051,0.8571428571428571,0.2142857142857142,0.1428571428571428,0.0,0.7830623339265255,0.2169376660734745,0.0393499782080816,0.050214806051927,0.0,0.0,1.0
GO,96814,INDIARA,3,0.6138464846269619,0.2652117824123844,0.4997613236179455,2.000955161477189,PDT,90000002630,DIVINO MARQUES DE SOUSA,52014,Vale do Rio dos Bois,9.5214215378562,0.0,0.0771754031183594,0.75,0.25,0.25,0.0,0.7673117897727273,0.2326882102272727,0.0248756218905472,0.0600485942381117,0.0,0.0,1.0
GO,96873,CAMPINAÇU,2,0.5726215329555622,0.1452430659111243,0.5105477740976316,1.9586805598505477,PP,90000008975,MILSON ALVES MAGALHAES,52004,Porangatu,8.20439841814938,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.9309070230309924,0.0690929769690076,0.0054978619425778,0.0213805742211362,0.0,0.0,1.0
GO,96890,SANTA ISABEL,2,0.527831715210356,0.0556634304207119,0.5015492087431007,1.9938223061023936,PSDB,90000001682,CASSIA SILVIA CAIXETA DOURADO,52006,Ceres,8.21012440516427,0.0,0.223524224021855,0.25,1.0,0.5,0.0,0.9004610794684025,0.0995389205315975,0.0045180722891566,0.0144578313253012,1.0,1.0,1.0
GO,96911,ADELÂNDIA,2,0.5340823970037453,0.0681647940074905,0.5023232195710418,1.990750100809492,PP,90000009658,JOAQUIM DOS REIS PEREIRA,52009,Anicuns,7.80832305039106,0.0,0.0,0.6,0.6,0.1,0.0,0.9197841726618704,0.0802158273381295,0.0058662495111458,0.0179898318341806,1.0,1.0,1.0
GO,96938,ÁGUA FRIA DE GOIÁS,3,0.6073324905183313,0.2394437420986094,0.5048088722527934,1.9809477506552808,PTC,90000025267,JOSÉ EDUARDO OLIVEIRA NETO,52012,Entorno de Brasília,8.5143892640835,0.0,0.0,0.8333333333333334,0.3333333333333333,0.0,0.0,0.8674225904928042,0.1325774095071958,0.0072900955253896,0.0175967823026646,0.0,0.0,1.0
MA,07005,ÁGUA DOCE DO MARANHÃO,3,0.4761408385452861,0.058837155432013,0.4122065320350845,2.4259683490772197,PMDB,100000023200,THALITA E SILVA CARVALHO DIAS,21013,Baixo Parnaíba Maranhense,9.35677565020573,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.7692242974928487,0.2307757025071512,0.0088592365744285,0.031062014656021,0.0,0.0,0.0
