municipality_id_tse,facultative_turnout_2020,facultative_turnout_2024,compulsory_turnout_2020,compulsory_turnout_2024,low_ed_turnout_2020,low_ed_turnout_2024,high_ed_turnout_2020,high_ed_turnout_2024,analfabeto_turnout_2020,analfabeto_turnout_2024,female_turnout_2020,female_turnout_2024,male_turnout_2020,male_turnout_2024,delta_facultative_turnout_2024_2020,delta_compulsory_turnout_2024_2020,delta_low_ed_turnout_2024_2020,delta_high_ed_turnout_2024_2020,delta_analfabeto_turnout_2024_2020,delta_female_turnout_2024_2020,delta_male_turnout_2024_2020,education_turnout_gap_2020,sex_turnout_gap_2020,education_turnout_gap_2024,sex_turnout_gap_2024,delta_education_turnout_gap_2024_2020,delta_sex_turnout_gap_2024_2020
00655,0.5815384615384616,0.6264367816091954,0.833937928254736,0.8101068999028183,0.7768622280817403,0.7758318739054291,0.8886827458256029,0.8593220338983051,0.5303430079155673,0.5696594427244582,0.8102272727272727,0.8070681572304363,0.7997981157469717,0.7711864406779662,0.0448983200707338,-0.02383102835191775,-0.0010303541763112545,-0.029360711927297833,0.03931643480889091,-0.00315911549683634,-0.028611675069005527,0.11182051774386259,0.010429156980301002,0.08349015999287601,0.03588171655247019,-0.02833035775098658,0.025452559572169187
00663,0.5195488721804511,0.5865885416666666,0.747534516765286,0.7592143014787023,0.6883116883116883,0.7224010604052263,0.7660606060606061,0.7878453038674034,0.5013123359580053,0.5408450704225352,0.7148901873866613,0.7420514761544285,0.7192137986361813,0.7263831388784343,0.06703966948621554,0.011679784713416241,0.03408937209353802,0.02178469780679726,0.03953273446452987,0.027161288767767133,0.0071693402422530195,0.07774891774891779,-0.004323611249519965,0.06544424346217703,0.01566833727599415,-0.012304674286740758,0.019991948525514114
00671,0.4931794333683106,0.5596421471172962,0.736217008797654,0.7631964809384164,0.6871461522331725,0.7240921169176262,0.8299776286353467,0.7931769722814499,0.4945736434108527,0.49113475177304966,0.7098966829798804,0.7522837184309511,0.7032967032967034,0.723196881091618,0.0664627137489856,0.02697947214076246,0.03694596468445366,-0.03680065635389684,-0.003438891637803032,0.0423870354510707,0.019900177794914597,0.1428314764021742,0.0065999796831770485,0.0690848553638237,0.02908683733933315,-0.0737466210383505,0.0224868576561561
00680,0.5669077757685352,0.6270190895741556,0.7552447552447552,0.7548512920526572,0.7161333112253357,0.7194944093339816,0.8166939443535188,0.7986666666666666,0.5431266846361186,0.563845050215208,0.7382268827454719,0.7586445366528354,0.7327797697678807,0.7212412137836448,0.0601113138056204,-0.00039346319209798697,0.0033610981086458214,-0.018027277686852194,0.02071836557908946,0.020417653907363498,-0.011538555984235921,0.10056063312818309,0.005447112977591151,0.07917225733268507,0.03740332286919057,-0.021388375795498016,0.03195620989159942
00698,0.5078597339782346,0.59400826446281,0.7982933914306464,0.8149113660062565,0.7367571927937617,0.7719495091164096,0.8362282878411911,0.8613636363636363,0.452914798206278,0.5012345679012346,0.7649784839457133,0.7953632148377126,0.756185878092939,0.771723544594207,0.08614853048457538,0.016617974575610095,0.035192316322647854,0.025135348522445256,0.04831976969495655,0.030384730891999223,0.015537666501267977,0.09947109504742935,0.008792605852774305,0.08941412724722675,0.02363967024350555,-0.010056967800202599,0.014847064390731246
00701,0.6850961538461539,0.71939736346516,0.8389800908138316,0.8614030105083783,0.8035126234906695,0.8249627051218299,0.8477508650519031,0.8715083798882681,0.6617100371747212,0.6836363636363636,0.8243331164606376,0.8540569020021075,0.8151549942594719,0.8328690807799443,0.03430120961900618,0.022422919694546684,0.021450081631160356,0.023757514836365012,0.021926326461642387,0.029723785541469927,0.01771408652047235,0.04423824156123357,0.00917812220116565,0.04654567476643823,0.021187821222163228,0.0023074332052046564,0.012009699020997577
00710,0.6078767123287672,0.6458036984352774,0.8670886075949367,0.8356723653993365,0.8043664383561644,0.7884530630233583,0.8932038834951457,0.8540856031128404,0.4959016393442623,0.52,0.8351440717997166,0.8125836680053548,0.8300132802124834,0.8013439731205376,0.03792698610651024,-0.03141624219560013,-0.015913375332806123,-0.03911828038230525,0.024098360655737727,-0.02256040379436186,-0.028669307091945817,0.08883744513898129,0.005130791587233174,0.06563254008948216,0.01123969488481713,-0.023204905049499125,0.006108903297583956
00728,0.5307262569832403,0.6746724890829694,0.8286298568507158,0.8754833720030936,0.7491408934707904,0.8222222222222222,0.8787878787878788,0.9098837209302325,0.47023809523809523,0.621301775147929,0.7946298984034833,0.8638184245660881,0.7866666666666666,0.8272962483829237,0.14394623209972912,0.04685351515237779,0.0730813287514318,0.031095842142353725,0.15106367990983371,0.06918852616260485,0.04062958171625708,0.1296469853170884,0.007963231736816678,0.08766149870801032,0.036522176183164445,-0.04198548660907808,0.028558944446347767
00736,0.5625,0.5960752248569092,0.8212927756653993,0.8118439808215628,0.7790626902008521,0.7706698853349426,0.8315301391035549,0.8312056737588652,0.5754560530679934,0.5833333333333334,0.7865683032307301,0.797025171624714,0.7924074963959635,0.7682713347921225,0.033575224856909225,-0.009448794843836428,-0.008392804865909431,-0.0003244653446896617,0.007877280265339959,0.010456868393983854,-0.024136161603841022,0.05246744890270283,-0.005839193165233403,0.0605357884239226,0.028753836832591473,0.00806833952121977,0.034593029997824876
00744,0.40523690773067333,0.6418128654970761,0.8194036119277615,0.8312922297297297,0.7139272271016311,0.8066618392469225,0.8910891089108911,0.8693586698337292,0.36995515695067266,0.5501730103806228,0.7618697092381302,0.8098274568642161,0.7576396206533192,0.8050108932461874,0.23657595776640272,0.01188861780196826,0.09273461214529133,-0.02173043907716188,0.18021785342995017,0.047957747626085845,0.04737127259286811,0.17716188180925996,0.004230088584810998,0.06269683058680675,0.004816563618028735,-0.1144650512224532,0.0005864750332177371
00752,0.45319465081723626,0.7132486388384754,0.8399767238871109,0.8312662244014999,0.7286519289120069,0.830308974987739,0.9205955334987593,0.8238095238095238,0.3305084745762712,0.5786802030456852,0.7815509376583882,0.8258196721311475,0.772110435189518,0.8049370764762827,0.2600539880212392,-0.008710499485610979,0.10165704607573212,-0.09678600968923556,0.24817172846941404,0.04426873447275925,0.0328266412867646,0.19194360458675241,0.009440502468870182,-0.006499451178215265,0.020882595654864833,-0.19844305576496768,0.01144209318599465
00779,0.3971764705882353,0.5086505190311419,0.6815407899233511,0.7007519494987003,0.6301403595173602,0.6718000504923,0.7131300560049783,0.7601049868766404,0.383793410507569,0.4177570093457944,0.6585018259552864,0.6956377233070212,0.6511730076443195,0.6645747316267547,0.11147404844290659,0.019211159575349246,0.04165969097493971,0.04697493087166216,0.03396359883822542,0.03713589735173484,0.01340172398243522,0.082989696487618,0.007328818310966878,0.08830493638434045,0.031062991680266494,0.005315239896722446,0.023734173369299616
