pair_id,cod_classe,cod_assunto,classe,assunto,n_2020,n_2024,n_total,family_micro,fam_subst13,fam_subst11,fam_theme9,fam_theme7,fam_triad3,fam_fine8,fam_fine7,fam_fine7_archive,fam_fine7_literal
1153,12561,11455,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Descumprimento da Proibição de Fornecimento de Transporte ou Refeições a Eleitores,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1907,11541,11605,REPRESENTAÇÃO,Inelegibilidade - Representação ou Ação de Investigação Judicial Eleitoral Jugada Procedente pela Justiça Eleitoral,1,0,1,candidacy_challenge,candidacy_challenge,candidacy_challenge,candidacy,candidacy,strategic_attack,eligibility,eligibility,eligibility,eligibility
1151,12561,11437,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Crimes contra o Serviço da Justiça Eleitoral,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1347,1727,14221,PETIÇÃO CRIMINAL,Falsificação ou Alteração de Documento Particular para Fins Eleitorais,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1910,11541,11523,REPRESENTAÇÃO,Não-Acesso dos Partidos aos Dados Relativos às Pesquisas Eleitorais,1,0,1,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,drop
1148,12561,11480,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Cerceamento da Fiscalização Partidária,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1147,12561,11628,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Cargos,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1143,12561,,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Cargo - Presidente da República,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1349,1727,3579,PETIÇÃO CRIMINAL,Falso testemunho ou falsa perícia,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1759,1298,11714,PROCESSO ADMINISTRATIVO,Apuração/Totalização de Votos,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1351,1727,3416,PETIÇÃO CRIMINAL,Furto,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
