state,municipality_id_tse,municipality_name,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
AC,01554,MANOEL URBANO,0.5,0.3333333333333333,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,52.55578370978782,64.19164955509925,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,47.90554414784394,51.723477070499655,0.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,6.576431856784944,10.867504775003958,2.0,3.0,1.0,0.0,-0.16666666666666669,1.0
AC,01570,ASSIS BRASIL,0.20000000000000004,0.5,5.0,2.0,4.999999999999999,2.0,1.0,1.0,0.0,0.0,1.0,1.0,36.95277207392197,40.84325804243669,1.0,1.0,0.0,0.0,0.6,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.6,0.5,47.167693360711844,43.45653661875428,0.0,1.0,0.0,0.5,0.8,0.5,5.0,2.0,11.154314916385164,3.6957340048873895,5.0,2.0,-3.0,0.0,0.29999999999999993,-2.999999999999999
AL,27006,PARIPUEIRA,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,58.16563997262149,62.05612594113621,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0,51.51129363449692,55.40177960301163,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,9.41066684010351,9.410666840103513,2.0,2.0,0.0,0.0,0.0,0.0
AL,27014,ÁGUA BRANCA,0.28,0.5,4.0,2.0,3.571428571428571,2.0,1.0,1.0,0.0,1.0,0.0,1.0,57.68104038329911,28.10130047912389,1.0,1.0,0.2,0.5,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,50.945379876796714,33.99041752224504,0.0,2.0,0.0,1.0,0.8,0.5,4.0,2.0,12.325838360331668,8.328469192784466,5.0,2.0,-3.0,0.3,0.21999999999999997,-1.5714285714285712
AL,27022,PARICONHA,0.375,0.5,3.0,2.0,2.6666666666666665,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.686516084873375,45.57700205338809,0.0,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.75,1.0,53.083504449007535,47.60301163586585,0.0,1.0,0.0,0.5,0.25,0.0,3.0,2.0,10.650337480128902,2.865210229037893,4.0,2.0,-2.0,-0.25,0.125,-0.6666666666666665
AL,27030,ANADIA,0.3333333333333333,0.5,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,52.92265571526352,33.9192334017796,1.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,39.02076203513575,38.568104038329906,0.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,12.098021530843152,6.574495903927494,3.0,2.0,-1.0,0.0,0.16666666666666669,-1.0
AL,27049,ESTRELA DE ALAGOAS,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,52.60506502395619,72.97467488021903,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.578370978781656,56.42984257357974,0.0,2.0,0.0,1.0,0.0,0.5,2.0,2.0,1.4519646430935254,23.39792623523782,2.0,2.0,0.0,0.0,0.0,0.0
AL,27057,ARAPIRACA,0.125,0.20000000000000004,5.0,4.0,8.0,4.999999999999999,1.0,1.0,0.0,0.0,1.0,1.0,62.25872689938399,66.1492128678987,0.0,0.0,0.25,0.2,0.75,1.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.75,0.8,49.94387405886379,52.700342231348394,0.0,1.0,0.0,0.2,0.375,0.6,8.0,5.0,10.943755714542311,11.912161992275312,8.0,5.0,-3.0,-0.04999999999999999,0.07500000000000004,-3.000000000000001
AL,27065,JEQUIÁ DA PRAIA,0.25,0.3333333333333333,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,32.97741273100616,36.86789869952088,1.0,1.0,0.25,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.75,1.0,39.02737850787132,45.08145106091718,0.0,2.0,0.0,0.6666666666666666,0.25,0.6666666666666666,4.0,3.0,7.4368855230431725,7.302217603590352,4.0,3.0,-1.0,0.08333333333333331,0.08333333333333331,-1.0
AL,27073,ATALAIA,0.28,0.25,2.0,4.0,3.571428571428571,4.0,1.0,1.0,1.0,1.0,1.0,1.0,36.851471594798085,40.7419575633128,0.0,0.0,0.4,0.25,0.8,0.75,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.8,0.25,48.46105407255305,49.5284052019165,0.0,2.0,0.0,0.5,0.4,0.5,4.0,4.0,11.946082978549757,8.170582672624507,5.0,4.0,-1.0,-0.15000000000000002,-0.030000000000000027,0.4285714285714288
AL,27081,CAMPESTRE,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.379876796714576,27.274469541409992,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.24845995893224,36.12867898699521,0.0,2.0,0.0,1.0,0.5,0.5,2.0,2.0,2.642575650430221,12.521743082038572,2.0,2.0,0.0,0.0,0.0,0.0
AL,27090,BARRA DE SANTO ANTÔNIO,0.5,0.25,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,39.41683778234086,43.30732375085558,0.0,0.0,1.0,0.5,0.5,0.25,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.5,0.5,41.82203969883641,56.992470910335385,0.0,2.0,0.0,0.5,0.0,0.0,2.0,4.0,3.4014691705537667,13.340319955996826,2.0,4.0,2.0,-0.5,-0.25,2.0
AL,27111,BARRA DE SÃO MIGUEL,0.20000000000000004,0.5,3.0,2.0,4.999999999999999,2.0,1.0,1.0,0.0,0.0,1.0,1.0,78.54346338124572,82.43394934976044,1.0,1.0,0.4,0.0,0.8,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.8,1.0,51.76180698151951,73.87679671457906,0.0,1.0,0.0,0.5,0.2,0.5,5.0,2.0,16.081328224229225,12.10164131197018,5.0,2.0,-3.0,-0.4,0.29999999999999993,-2.999999999999999
AL,27138,BATALHA,0.20000000000000004,0.3333333333333333,3.0,2.0,4.999999999999999,3.0,1.0,1.0,1.0,0.0,1.0,0.0,41.21834360027378,47.81656399726215,0.0,0.0,0.2,0.0,0.6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,49.89185489390828,55.11202372804016,0.0,3.0,0.0,1.0,0.4,0.0,5.0,3.0,5.921574421785149,9.409824411335041,5.0,3.0,-2.0,-0.2,0.13333333333333328,-1.9999999999999991
