office_group,election_year,state,municipality_id_tse,municipality_name,total_candidates,elected_candidates,party_count,coalition_count,female_share,nonwhite_share,higher_education_share,married_share,mean_age,sd_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_count,incumbent_candidate_count,incumbent_reelected_count,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,candidate_hhi_party,effective_party_count_candidates
executive,2020,AL,27596,IBATEGUARA,4,1,4,3,0.5,0.5,0.25,0.5,54.20191649555099,8.780958714424443,1.0,0.0,0.0,47.81108829568789,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27618,IGACI,3,1,3,3,0.0,0.6666666666666666,0.3333333333333333,1.0,59.35843029888204,7.003800300795828,0.0,1.0,0.0,67.1047227926078,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27634,IGREJA NOVA,4,1,4,2,0.5,0.25,1.0,0.75,56.67419575633128,10.812364562364671,1.0,0.0,1.0,72.58590006844626,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27650,INHAPI,4,1,4,2,0.25,0.25,0.25,0.75,41.74127310061601,7.311191860400642,0.0,0.0,0.0,30.885694729637233,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27677,JACARÉ DOS HOMENS,2,1,2,2,0.0,0.0,1.0,1.0,44.247775496235455,10.684523820310902,0.0,0.0,1.0,51.80287474332649,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27693,JACUÍPE,3,1,3,3,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,49.990417522245046,2.637829367282414,0.0,0.0,0.0,50.80355920602327,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27715,JAPARATINGA,3,1,3,3,0.0,0.6666666666666666,0.3333333333333333,1.0,47.32922655715263,10.916438708983437,0.0,1.0,0.0,59.40588637919233,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27731,JARAMATAIA,2,1,2,2,0.0,1.0,0.5,1.0,44.16974674880219,4.317174872131418,0.0,1.0,1.0,41.1170431211499,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27758,JOAQUIM GOMES,3,1,3,3,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,49.95756331279946,8.735773990096561,0.0,1.0,0.0,58.23956194387406,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27774,JUNDIÁ,2,1,2,2,0.5,1.0,1.0,1.0,47.946611909650926,8.705979999988788,0.0,1.0,1.0,41.790554414784395,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27790,JUNQUEIRO,3,1,3,3,0.0,0.6666666666666666,1.0,1.0,48.755646817248454,13.790188602193885,0.0,1.0,1.0,32.99110198494182,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27812,LAGOA DA CANOA,4,1,4,3,0.25,0.0,0.75,0.75,44.55578370978782,5.810859814484417,1.0,0.0,1.0,44.668035592060235,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27839,LIMOEIRO DE ANADIA,3,1,3,3,0.0,0.3333333333333333,0.6666666666666666,1.0,49.72393337896418,4.089239613366534,0.0,1.0,1.0,53.87816563997262,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27855,MACEIÓ,10,1,10,6,0.2,0.4,0.9,0.7,51.914031485284056,12.915021778696918,0.0,1.0,1.0,33.35797399041752,0,0,0,0.0,0.0,0.0,0.10000000000000003,9.999999999999996
executive,2020,AL,27871,MAJOR ISIDORO,2,1,2,2,0.0,0.5,0.0,0.0,32.94866529774127,16.38784093838227,0.0,0.0,0.0,44.53661875427789,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27898,MARAGOGI,3,1,3,3,0.0,0.3333333333333333,1.0,0.6666666666666666,55.89231120237281,9.997302668922512,0.0,1.0,1.0,63.931553730321696,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27910,MARAVILHA,3,1,3,3,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,43.874971480720966,12.47004847866365,1.0,0.0,1.0,57.987679671457904,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27936,MARECHAL DEODORO,2,1,2,2,0.0,0.0,1.0,1.0,42.51882272416153,6.462210638194923,0.0,0.0,1.0,37.949349760438054,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27952,MARIBONDO,2,1,2,2,0.5,0.0,1.0,0.5,58.70773442847364,10.473504958847977,1.0,0.0,1.0,66.11362080766598,0,0,0,0.0,0.0,0.0,0.5,2.0
