municipality_id_tse,biv_act10,biv_subject,biv_pair
01538,0.03587067046737087,0.07537693108449724,-1.0135946627840218
01554,0.0,0.0,0.0
01570,0.0,0.0,0.0
02003,0.15047280630922977,-0.01956420564636474,-0.01956420564636474
02011,0.009625515445281022,-0.14726921824690628,-0.010131043015316588
02020,-0.0965114016350066,-0.2280437115267886,-0.19136962078042252
02038,0.19070703403361455,-0.3289310668515128,-0.17689706671529332
02046,0.0,0.0,0.0
02054,0.08325534429967307,-0.21800227260985983,-0.23151540312593566
02070,0.08632420980917921,-0.013873678764923847,-0.014698293473434244
02097,0.09050670248480286,0.1990406665812552,0.42873222127918265
02119,-0.14590824322385387,-0.28966789171665064,-0.6321755529924892
02135,-0.12278197757354858,-0.1661492453278508,-0.24163381309246867
02151,-0.026076306636625787,-0.2587629633476432,-0.1231635291230512
02178,0.03173284906674212,-0.601589208726701,-1.2588168333962493
02194,0.15047280630922977,-0.5535237014183277,-0.4551433640959358
02216,-0.01939298009909418,0.10574954503445078,0.28848754974059787
02232,0.09915392910918933,-0.006652733099691765,-0.2669744484401807
02259,-0.039716529450472784,-0.18348796763971395,-0.20794305582336192
02275,-0.005877541194396985,-0.10010383254074129,-0.4345576620820004
02291,0.006985444066797845,-0.041106981494232864,-0.28810795556633256
02313,-0.029792016707337332,0.10242303343631631,-0.19631240117226922
02330,0.08190755874941447,0.028018400567121363,0.11748336155591368
02356,0.005541619929165086,0.02578634372829806,-0.17577721188368378
02372,-0.08723164686580555,-0.1731376433425915,-1.1304304633106699
02399,-0.03746289464017637,-0.10587036732158453,-0.22890537919373416
02410,-0.14629937195424475,-0.2219913611070094,-0.4135800045949859
02437,0.0,0.0,0.0
02453,-0.14590824322385387,0.04307428246927181,-0.7368222440626067
02470,0.004821571452160001,0.12209020388831487,0.5338973870544985
02496,0.08632420980917921,-0.027337031830422465,0.07642318104044588
02518,-0.14590824322385387,-0.46926224777102554,0.09798040836020316
02534,-0.018109820299394515,-0.09601773179278233,-0.20827141148560566
02550,0.014519870082594782,0.005801312783370929,0.06064823005531562
02577,-0.14590824322385387,-0.46926224777102554,-1.036981413622227
02593,0.10078939955610222,1.4422666880271136,1.9411099893048265
02615,0.08046392782152195,-0.09154002726910247,-0.14569033368375117
02631,0.08632420980917921,-0.022112624929472302,-0.1860450903181161
02658,0.08427829946950845,0.12103078868571338,0.08900954666994476
02674,0.1153046248008073,-0.0918422902104076,0.1464531603288557
02690,-0.025937639098953115,-0.16399002538343926,-0.005912643506937876
02712,0.0,0.0,0.0
02739,0.033465614855042514,0.03398184970106399,0.1287118961711986
02755,0.04095588928861501,-0.25109237924559114,-1.0787622671943216
02771,-0.017106229440988052,-0.3863520703538623,-0.3387917280099697
02798,0.04337601781231015,0.024858285368097865,0.0017460557950617073
02810,-0.059254797065649234,-0.025818765770647623,-0.5518525871886861
02836,0.15303123597494417,0.13931599665544822,0.3019033040599609
02852,-0.06849742554617617,0.23924638849511123,0.45785044750633946
02879,0.15047280630922977,0.2632305540461264,0.2635720257926577
02895,0.0,0.0,0.0
02917,0.08632420980917921,-0.01688821802852214,-0.4485133616766781
02933,0.0,0.0,0.0
02950,0.04240832057354764,-0.03779794234683123,-0.00037757745172013746
02976,-0.14590824322385387,-2.3978952727983707,0.0
02992,0.15047280630922977,0.2632305540461264,0.2635720257926577
03000,0.09032799037010086,-0.034060838072959676,-0.02726107168496572
03018,-0.016082392815218234,-0.15804652485664678,-0.385781720938941
03026,-0.1488067157290498,-0.31030747196976005,0.3805970415301507
03034,-0.1488067157290498,-0.1332964503667271,-2.5401873819319536
03042,0.030544313845313198,-0.6911925853110829,-0.6616831431291085
03050,0.042654567866938546,-0.06997261066560807,-0.013974529860164037
03069,-0.029239362679474468,-0.25688753577845125,-0.2986377834206433
03077,-0.06909514702933292,-0.3810062110695152,-1.3956665580070486
03085,-0.1488067157290498,-0.4797142334839428,-1.03642216450391
03093,0.2869098716412086,0.5222063994929425,-0.40339256850619165
03107,-0.029239362679474468,-1.2415354400072605,0.018108242008201714
03115,-0.1488067157290498,-0.5679840376059397,-3.7612001156935624
