state,municipality_id_tse,municipality_name,bartik_iv_2020_2024,baseline_competition_lawsuits_2020,baseline_subjects_2020,competition_families_2020,competition_families_2024,competition_lawsuits_2020,competition_lawsuits_2024,competition_subjects_2020,competition_subjects_2024,log1p_competition_lawsuits_2020,log1p_competition_lawsuits_2024,delta_log1p_competition_lawsuits_2024_2020,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
SP,63215,CASTILHO,-0.1518588660260349,235.0,5.0,3.0,3.0,235.0,163.0,5.0,8.0,5.4638318050256105,5.099866427824199,-0.36396537720141175,0.07848574960740419,0.07934371926918897,1.0,2.0,12.741166453810132,12.603392041748206,11.0,11.0,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,48.68172484599589,49.58372223259287,0.18181818181818182,0.18181818181818182,0.32947976878612717,0.3597122302158273,0.19653179190751446,0.2733812949640288,0.0,7.0,0.0,0.050359712230215826,0.0,6.0,0.0,0.5454545454545454,0.5433526011560693,0.5251798561151079,47.2925108702963,49.0593906804741,0.0,95.0,0.0,0.6834532374100719,0.3179190751445087,0.41007194244604317,14.0,13.0,11.352310274225486,12.091060063742663,173.0,139.0,-34.0,0.030232461429700153,0.0008579696617847798,-0.1377744120619262
SP,63231,CATANDUVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09640000000000001,0.05723856948845632,1.0,2.0,10.373443983402488,17.470737108509965,13.0,13.0,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.5384615384615384,44.16953614489549,47.41683778234086,0.15384615384615385,0.15384615384615385,0.315,0.3659574468085106,0.47,0.4340425531914894,0.0,13.0,0.0,0.05531914893617021,0.0,7.0,0.0,0.5384615384615384,0.645,0.5702127659574469,47.758631074606434,48.53682846199776,0.0,176.0,0.0,0.7489361702127659,0.23,0.25957446808510637,11.0,18.0,11.308627453388896,11.74850645768883,200.0,235.0,35.0,0.05095744680851061,-0.03916143051154369,7.097293125107477
SP,63258,CATIGUÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12370867768595041,0.16835949522930133,1.0,1.0,8.083507306889352,5.939670932358318,9.0,9.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333,51.71282987299415,47.23613963039014,0.3333333333333333,0.3333333333333333,0.3522727272727273,0.3333333333333333,0.11363636363636363,0.24561403508771928,0.0,6.0,0.0,0.10526315789473684,0.0,3.0,0.0,0.3333333333333333,0.5909090909090909,0.6842105263157895,45.40663306577064,46.03859408960457,0.0,35.0,0.0,0.6140350877192983,0.2840909090909091,0.3157894736842105,9.0,6.0,11.942860215574148,10.183573844146206,88.0,57.0,-31.0,-0.018939393939393978,0.044650817543350915,-2.143836374531034
SP,63274,CEDRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22745460141582022,0.13544536271809,1.0,2.0,4.396481732070366,7.3830508474576275,9.0,9.0,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.7777777777777778,45.73275534261161,48.54391968971025,0.1111111111111111,0.0,0.3508771929824561,0.36363636363636365,0.38596491228070173,0.3787878787878788,0.0,7.0,0.0,0.10606060606060606,0.0,5.0,0.0,0.5555555555555556,0.5087719298245614,0.5303030303030303,47.81411434129471,46.84570551511003,0.0,49.0,0.0,0.7424242424242424,0.17543859649122806,0.13636363636363635,5.0,8.0,12.625429759289451,10.613527829253835,57.0,66.0,9.0,0.012759170653907526,-0.09200923869773023,2.9865691153872618
SP,63290,CERQUEIRA CÉSAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11128257887517147,0.14314058956916098,1.0,2.0,8.98613251155624,6.986138613861387,11.0,11.0,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.45454545454545453,41.08145106091718,39.266255989048595,0.0,0.18181818181818182,0.3425925925925926,0.36904761904761907,0.2222222222222222,0.34523809523809523,0.0,9.0,0.0,0.10714285714285714,0.0,6.0,0.0,0.5454545454545454,0.48148148148148145,0.38095238095238093,45.00136892539357,45.34294840455005,0.0,50.0,0.0,0.5952380952380952,0.14814814814814814,0.32142857142857145,12.0,7.0,11.799293589432438,12.47433693408568,108.0,84.0,-24.0,0.026455026455026454,0.03185801069398951,-1.9999938976948535
SP,63312,CERQUILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166540690350214,0.11447704081632654,1.0,2.0,8.572354211663068,8.735376044568245,13.0,13.0,0.23076923076923078,0.3076923076923077,0.5384615384615384,0.6153846153846154,50.041383667667034,46.84525877955036,0.15384615384615385,0.0,0.3333333333333333,0.36607142857142855,0.3333333333333333,0.4107142857142857,0.0,10.0,0.0,0.08928571428571429,0.0,6.0,0.0,0.46153846153846156,0.5555555555555556,0.5535714285714286,49.96647219234488,48.62528111860761,0.0,73.0,0.0,0.6517857142857143,0.15079365079365079,0.21428571428571427,11.0,9.0,11.676118801673132,10.139641195131183,126.0,112.0,-14.0,0.03273809523809523,-0.0021770282186948653,0.16302183290517647
SP,63339,CESÁRIO LANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18244575936883628,0.0771586865456511,1.0,2.0,5.481081081081081,12.960303561004086,11.0,11.0,0.0,0.18181818181818182,0.09090909090909091,0.36363636363636365,51.37427664737727,41.54613900815132,0.18181818181818182,0.2727272727272727,0.3717948717948718,0.3624161073825503,0.15384615384615385,0.18791946308724833,0.0,8.0,0.0,0.053691275167785234,0.0,3.0,0.0,0.2727272727272727,0.6153846153846154,0.6375838926174496,47.70747117359027,46.888744952661824,0.0,113.0,0.0,0.7583892617449665,0.24358974358974358,0.31543624161073824,6.0,13.0,11.362412997230168,12.202353315497565,78.0,149.0,71.0,-0.009378764412321494,-0.10528707282318518,7.4792224799230045
SP,63355,CHARQUEADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07538269846920612,0.1537618699780862,1.0,2.0,13.265643447461631,6.503562945368171,11.0,11.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,42.27390952647625,44.61228299421318,0.18181818181818182,0.2727272727272727,0.3584905660377358,0.35135135135135137,0.16037735849056603,0.21621621621621623,0.0,10.0,0.0,0.13513513513513514,0.0,6.0,0.0,0.5454545454545454,0.6037735849056604,0.5675675675675675,46.80601294021929,49.33980798046507,0.0,41.0,0.0,0.5540540540540541,0.2358490566037736,0.3108108108108108,14.0,7.0,10.949331174309568,11.00789906104565,212.0,74.0,-138.0,-0.007139214686384454,0.07837917150888007,-6.76208050209346
SP,63371,CHAVANTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260075502499745,0.12666554224995782,1.0,1.0,7.936032388663967,7.894806924101199,9.0,9.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,44.23910563540954,44.054148604456614,0.0,0.1111111111111111,0.35353535353535354,0.3246753246753247,0.1919191919191919,0.23376623376623376,0.0,4.0,0.0,0.05194805194805195,0.0,3.0,0.0,0.3333333333333333,0.5353535353535354,0.5974025974025974,46.100263414431794,47.766251544485634,0.0,51.0,0.0,0.6623376623376623,0.32323232323232326,0.24675324675324675,8.0,8.0,11.579375066259452,12.282477225580893,99.0,77.0,-22.0,-0.028860028860028863,0.000657991999983315,-0.041225464562767655
SP,63398,CLEMENTINA,-0.18480922257213198,268.0,10.0,4.0,4.0,268.0,284.0,10.0,14.0,5.594711379601839,5.652489180268651,0.05777780066681171,0.18356794024705544,0.2013888888888889,1.0,2.0,5.447574334898278,4.9655172413793105,9.0,9.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.4444444444444444,49.846832458742114,45.29287398281238,0.1111111111111111,0.5555555555555556,0.3728813559322034,0.3125,0.1694915254237288,0.1875,0.0,5.0,0.0,0.10416666666666667,0.0,2.0,0.0,0.2222222222222222,0.6610169491525424,0.6458333333333334,45.401037135001566,50.11715719826603,0.0,29.0,0.0,0.6041666666666666,0.2711864406779661,0.2708333333333333,6.0,5.0,14.515552037270293,12.784051433180286,59.0,48.0,-11.0,-0.060381355932203395,0.01782094864183345,-0.48205709351896786
