election_year,state,municipality_id_tse,municipality_name,registered_voters,turnout_count,abstentions_count,total_votes,blank_votes,null_votes,turnout_rate,abstention_rate,null_rate,blank_rate,valid_vote_rate,valid_votes
2020,AL,28754,SÃO SEBASTIÃO,24790,19941,4849,19941,303,776,0.8043969342476806,0.19560306575231948,0.031302944735780554,0.012222670431625655,0.7608713190802743,18862
2020,AL,28770,SATUBA,11151,9484,1667,9484,243,423,0.8505066810151556,0.14949331898484441,0.037933817594834544,0.021791767554479417,0.7907810958658417,8818
2020,AL,28797,TANQUE D ARCA,5436,4364,1072,4364,60,138,0.8027961736571008,0.19720382634289918,0.025386313465783666,0.011037527593818985,0.7663723325974982,4166
2020,AL,28819,TAQUARANA,13574,10635,2939,10635,173,578,0.7834831295123029,0.21651687048769708,0.04258140562840725,0.01274495358774127,0.7281567702961544,9884
2020,AL,28835,TRAIPU,17108,13148,3960,13148,117,486,0.7685293429974281,0.23147065700257188,0.028407762450315642,0.006838905775075988,0.7332826747720365,12545
2020,AL,28851,UNIÃO DOS PALMARES,44953,34512,10441,34512,526,1685,0.7677351900874246,0.23226480991257537,0.037483593975930415,0.01170111004827264,0.7185504860632216,32301
2020,AL,28878,VIÇOSA,19668,15622,4046,15622,190,562,0.7942851332113077,0.2057148667886923,0.02857433394346146,0.009660362009355298,0.756050437258491,14870
2020,AL,28894,CRAÍBAS,18372,15703,2669,15703,185,543,0.8547245808839539,0.14527541911604616,0.029555845852384063,0.010069671238841716,0.8150990637927281,14975
2020,AL,28916,SENADOR RUI PALMEIRA,8854,6805,2049,6805,75,334,0.768579173255026,0.23142082674497402,0.03772306302236277,0.0084707476846623,0.7223853625480009,6396
2020,AL,28932,TEOTÔNIO VILELA,29308,21519,7789,21519,687,1379,0.7342363859697011,0.2657636140302989,0.04705199945407397,0.02344069878531459,0.6637436877303126,19453
2020,AM,02003,APUÍ,10558,7702,2856,7702,61,233,0.7294942223906042,0.2705057776093957,0.022068573593483614,0.005777609395718886,0.7016480394014017,7408
2020,AM,02011,NOVO AIRÃO,10748,9012,1736,9012,50,221,0.838481577967994,0.16151842203200595,0.020561965016747303,0.0046520282843319685,0.8132675846669147,8741
2020,AM,02020,GUAJARÁ,11307,8811,2496,8811,35,286,0.7792517909259751,0.22074820907402495,0.025294065623065357,0.003095427611214292,0.7508622976916954,8490
2020,AM,02038,ANORI,10266,8693,1573,8693,32,181,0.8467757646600429,0.15322423533995713,0.01763101500097409,0.003117085525034093,0.8260276641340347,8480
2020,AM,02046,CAREIRO DA VÁRZEA,15775,13308,2467,13308,77,294,0.8436133122028526,0.15638668779714737,0.018637083993660857,0.004881141045958795,0.820095087163233,12937
2020,AM,02054,ATALAIA DO NORTE,8602,6914,1688,6914,14,184,0.8037665659149035,0.1962334340850965,0.0213903743315508,0.0016275284817484307,0.7807486631016043,6716
2020,AM,02070,AUTAZES,26365,22322,4043,22322,114,651,0.8466527593400341,0.15334724065996586,0.024691826284847337,0.004323914280295847,0.8176370187748909,21557
2020,AM,02097,BARCELOS,11301,8588,2713,8588,20,274,0.75993274931422,0.24006725068578003,0.024245641978585968,0.0017697548889478807,0.7339173524466861,8294
2020,AM,02119,BARREIRINHA,20100,16577,3523,16577,50,505,0.824726368159204,0.17527363184079603,0.025124378109452738,0.0024875621890547263,0.7971144278606965,16022
2020,AM,02135,BENJAMIN CONSTANT,21269,17248,4021,17248,68,457,0.810945507546194,0.189054492453806,0.0214866707414547,0.003197141379472472,0.7862616954252668,16723
2020,AM,02151,BOCA DO ACRE,22558,17327,5231,17327,133,648,0.7681088749002571,0.23189112509974288,0.028725950882170406,0.005895912758223247,0.7334870112598635,16546
2020,AM,02178,BORBA,22473,18305,4168,18305,75,502,0.8145329951497352,0.18546700485026477,0.022337916611044364,0.0033373381391002535,0.7888577403995907,17728
2020,AM,02194,CANUTAMA,9238,7441,1797,7441,36,270,0.8054773760554232,0.19452262394457676,0.02922710543407664,0.0038969473912102187,0.7723533232301364,7135
2020,AM,02216,CARAUARI,20626,15415,5211,15415,79,523,0.7473577038689033,0.2526422961310967,0.025356346358964416,0.0038301173276447205,0.7181712401822942,14813
2020,AM,02232,CAREIRO,22649,18671,3978,18671,154,645,0.8243631065389201,0.17563689346107997,0.028478078502362135,0.006799417192812044,0.7890856108437458,17872
2020,AM,02259,COARI,93779,72735,21044,72735,488,1583,0.7756000810415978,0.2243999189584022,0.01688011175209802,0.005203723648151505,0.7535162456413482,70664
2020,AM,02275,CODAJÁS,15680,12572,3108,12572,43,270,0.8017857142857143,0.1982142857142857,0.01721938775510204,0.00274234693877551,0.7818239795918367,12259
2020,AM,02291,EIRUNEPÉ,22381,16453,5928,16453,143,828,0.7351324784415352,0.26486752155846477,0.03699566596666816,0.0063893481077699835,0.6917474643670971,15482
2020,AM,02313,ENVIRA,11528,8211,3317,8211,39,317,0.7122657876474671,0.28773421235253294,0.027498265093684943,0.0033830673143650245,0.681384455239417,7855
2020,AM,02330,FONTE BOA,15485,12724,2761,12724,60,332,0.8216984178237003,0.17830158217629966,0.02144010332579916,0.0038747174685179204,0.7963835970293833,12332
2020,AM,02356,HUMAITÁ,31604,24800,6804,24800,212,570,0.7847107961017593,0.21528920389824072,0.018035691684596886,0.006708011644095684,0.7599670927730667,24018
2020,AM,02372,SANTA ISABEL DO RIO NEGRO,8353,5936,2417,5936,45,153,0.7106428827966,0.28935711720339996,0.018316772417095655,0.005387286005028134,0.6869388243744763,5738
2020,AM,02399,IPIXUNA,11608,9201,2407,9201,34,290,0.7926430048242591,0.20735699517574085,0.02498277050310131,0.002929014472777395,0.7647312198483804,8877
2020,AM,02410,ITACOATIARA,67270,53003,14267,53003,298,1057,0.7879143749070908,0.21208562509290918,0.01571279916753382,0.004429909320648134,0.7677716664189089,51648
2020,AM,02437,ITAPIRANGA,7873,6828,1045,6828,23,110,0.8672678775562047,0.13273212244379526,0.013971802362504762,0.0029213768576146324,0.8503746983360854,6695
2020,AM,02453,JAPURÁ,4771,3908,863,3908,5,64,0.819115489415217,0.18088451058478305,0.01341437853699434,0.0010479983232026828,0.8046531125550199,3839
2020,AM,02470,JURUÁ,7577,5867,1710,5867,30,214,0.7743170120100303,0.22568298798996964,0.028243368087633627,0.0039593506664906955,0.742114293255906,5623
2020,AM,02496,JUTAÍ,13329,10896,2433,10896,30,386,0.817465676344812,0.18253432365518793,0.028959411808837873,0.0022507314877335135,0.7862555330482407,10480
2020,AM,02518,LÁBREA,25441,19481,5960,19481,177,817,0.7657324790692189,0.23426752093078101,0.03211351755041075,0.006957273692071853,0.7266616878267363,18487
2020,AM,02534,MANACAPURU,67504,55924,11580,55924,432,1505,0.8284546100971795,0.17154538990282056,0.02229497511258592,0.006399620763214032,0.7997600142213794,53987
2020,AM,02550,MANAUS,1331613,1088826,242787,1088826,43981,81972,0.8176745045294691,0.18232549547053084,0.061558425758835335,0.0330283648477448,0.723087713922889,962873
2020,AM,02577,MANICORÉ,30846,24278,6568,24278,135,548,0.7870712572132529,0.21292874278674706,0.017765674641768786,0.0043765804318226026,0.7649290021396615,23595
2020,AM,02593,MARAÃ,9616,7582,2034,7582,20,218,0.788477537437604,0.211522462562396,0.02267054908485857,0.0020798668885191347,0.7637271214642263,7344
2020,AM,02615,MAUÉS,34283,26936,7347,26936,189,758,0.7856955342297932,0.21430446577020681,0.022110083714960767,0.005512936440801563,0.7580725140740309,25989
2020,AM,02631,NHAMUNDÁ,13843,11927,1916,11927,35,202,0.8615906956584556,0.13840930434154447,0.014592212670663874,0.002528353680560572,0.8444701293072311,11690
2020,AM,02658,NOVA OLINDA DO NORTE,18265,14619,3646,14619,83,312,0.8003832466465919,0.19961675335340814,0.01708185053380783,0.004544210238160416,0.7787571858746236,14224
2020,AM,02674,NOVO ARIPUANÃ,13070,10338,2732,10338,57,344,0.7909716908951798,0.2090283091048202,0.02631981637337414,0.004361132364192808,0.7602907421576128,9937
2020,AM,02690,PARINTINS,69583,52202,17381,52202,677,1596,0.7502119770633632,0.24978802293663682,0.022936636822212322,0.009729387925211618,0.7175459523159392,49929
2020,AM,02712,PAUINI,10681,8300,2381,8300,21,198,0.77708079767812,0.22291920232187998,0.018537590113285273,0.001966108042318135,0.7565770995225166,8081
2020,AM,02739,SANTO ANTÔNIO DO IÇÁ,15154,13112,2042,13112,45,317,0.8652500989837667,0.13474990101623333,0.02091856935462584,0.002969512999868022,0.8413620166292728,12750
