municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
00558,RO,VALE DO PARAÍSO,2.0,1.0,1.0,724.0,362.0,4000.0,2000.0,2.0,2.0,11.0,2.0,1.0,2.0,695.0,347.5,9000.0,4500.0,1.0,2.0,7.0,0.0,0.0,1.0,-29.0,-14.5,5000.0,2500.0,-1.0,0.0,-4.0,1,1
00566,RO,URUPÁ,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3.0,1.0,2.0,885.0,295.0,10000.0,3333.3333333333335,3.0,2.0,33.0,3.0,1.0,2.0,885.0,,,,3.0,2.0,,0,1
00574,RO,MIRANTE DA SERRA,1.0,1.0,1.0,289.0,289.0,3300.0,3300.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-289.0,,,,-1.0,-1.0,,0,1
00590,RO,THEOBROMA,3.0,1.0,2.0,1069.0,356.3333333333333,9200.0,3066.6666666666665,3.0,3.0,17.0,3.0,1.0,2.0,750.0,250.0,10600.0,3533.3333333333335,2.0,1.0,172.0,0.0,0.0,0.0,-319.0,-106.33333333333331,1400.0,466.66666666666697,-1.0,-2.0,155.0,1,1
00604,RO,MINISTRO ANDREAZZA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,1.0,1.0,465.0,232.5,5500.0,2750.0,1.0,1.0,33.0,2.0,1.0,1.0,465.0,,,,1.0,1.0,,0,1
00612,RO,GOVERNADOR JORGE TEIXEIRA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,1.0,2.0,580.0,290.0,5000.0,2500.0,2.0,2.0,22.0,2.0,1.0,2.0,580.0,,,,2.0,2.0,,0,1
00620,RO,CACAULÂNDIA,1.0,1.0,1.0,318.0,318.0,3100.0,3100.0,1.0,1.0,13.0,1.0,1.0,1.0,212.0,212.0,8000.0,8000.0,0.0,1.0,19.0,0.0,0.0,0.0,-106.0,-106.0,4900.0,4900.0,-1.0,0.0,6.0,1,1
00639,RO,ALTO PARAÍSO,3.0,1.0,2.0,952.0,317.3333333333333,10500.0,3500.0,3.0,3.0,22.0,4.0,1.0,2.0,1053.0,263.25,11500.0,2875.0,2.0,3.0,37.0,1.0,0.0,0.0,101.0,-54.083333333333314,1000.0,-625.0,-1.0,0.0,15.0,1,1
00647,RO,RIO CRESPO,3.0,1.0,3.0,1109.0,369.6666666666667,8900.0,2966.6666666666665,3.0,2.0,39.0,2.0,1.0,2.0,602.0,301.0,7000.0,3500.0,2.0,1.0,128.0,-1.0,0.0,-1.0,-507.0,-68.66666666666669,-1900.0,533.3333333333335,-1.0,-1.0,89.0,1,1
00655,RO,CORUMBIARA,3.0,1.0,1.0,1080.0,360.0,6000.0,2000.0,3.0,3.0,25.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-3.0,-1.0,-1.0,-1080.0,,,,-3.0,-3.0,,0,1
00663,RO,MONTE NEGRO,1.0,1.0,1.0,370.0,370.0,3000.0,3000.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-370.0,,,,-1.0,-1.0,,0,1
