pair_id,cod_classe,classe,cod_assunto,assunto,fam_act10,kept
1116,120.0,MANDADO DE SEGURANÇA CÍVEL,11428.0,DIREITO ELEITORAL,,False
179,11528.0,AÇÃO PENAL ELEITORAL,10752.0,Aliciamento eleitoral,vote_buying,True
52,280.0,AUTO DE PRISÃO EM FLAGRANTE,3633.0,Crimes do Sistema Nacional de Armas,,False
1637,241.0,PETIÇÃO CÍVEL,11508.0,Violação do Sigilo do Voto,,False
252,11528.0,AÇÃO PENAL ELEITORAL,,Identidade de Gênero,,False
2104,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11519.0,Inscrição Simultânea em Dois ou Mais Partidos,,False
253,11528.0,AÇÃO PENAL ELEITORAL,11490.0,Impedimento do Exercício da Propaganda,,False
2006,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11480.0,Cerceamento da Fiscalização Partidária,,False
1518,241.0,PETIÇÃO CÍVEL,11438.0,Inscrição Fraudulenta,,False
1639,241.0,PETIÇÃO CÍVEL,11507.0,Votação Múltipla ou Realizada em Lugar de Outrem,,False
671,386.0,EXECUÇÃO DA PENA,11455.0,Descumprimento da Proibição de Fornecimento de Transporte ou Refeições a Eleitores,,False
557,156.0,CUMPRIMENTO DE SENTENÇA,12639.0,Propaganda Política - Propaganda Eleitoral - Aplicativo de Mensagem Instantânea,,False
1475,241.0,PETIÇÃO CÍVEL,11740.0,Exceção - De Coisa Julgada,,False
559,156.0,CUMPRIMENTO DE SENTENÇA,11656.0,Propaganda Política - Propaganda Eleitoral - Bem Particular,,False
2116,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11445.0,"Ocultação, Sonegação ou Recusa de Fornecimento de Utilidades, Alimentos e Transporte no Dia da Eleição",,False
676,386.0,EXECUÇÃO DA PENA,11514.0,Divulgação de Propaganda Eleitoral no Dia da Eleição,,False
1150,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11482.0,Crimes contra a Propaganda Eleitoral,,False
956,279.0,INQUÉRITO POLICIAL,3572.0,Desobediência,,False
1158,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11645.0,Eleições - Eleição Majoritária,,False
678,386.0,EXECUÇÃO DA PENA,11731.0,Execução - De Multa Eleitoral,,False
537,156.0,CUMPRIMENTO DE SENTENÇA,11732.0,Execução de Julgado,,False
1702,1733.0,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),3396.0,Difamação,honra,True
2453,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11756.0,Filiação Partidária - Cancelamento,,False
2442,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11591.0,Condição de Elegibilidade - Pleno Exercício dos Direitos Políticos,,False
639,12625.0,DIREITO DE RESPOSTA,11773.0,Propaganda Política - Propaganda Partidária,,False
1012,279.0,INQUÉRITO POLICIAL,3596.0,Inserção de dados falsos em sistema de informações,,False
1828,11532.0,REGISTRO DE CANDIDATURA,11592.0,Condição de Elegibilidade - Quitação Eleitoral,,False
1393,241.0,PETIÇÃO CÍVEL,11578.0,Alistamento Eleitoral - Exclusão,,False
67,280.0,AUTO DE PRISÃO EM FLAGRANTE,11464.0,Obstamento do Transporte e Fornecimento de Alimentos a Eleitores pela Justiça Eleitoral,,False
2570,12134.0,TUTELA CAUTELAR ANTECEDENTE,11653.0,Propaganda Política - Propaganda Eleitoral - Adesivo,,False
1845,11532.0,REGISTRO DE CANDIDATURA,,NI,,False
1651,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11695.0,Contas - Aprovação das Contas,,False
2306,278.0,TERMO CIRCUNSTANCIADO,11522.0,Arguição de Ineligibilidade Temerária ou de Má-Fé,inelegib,True
2457,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11616.0,Impugnação ao Registro de Candidatura,,False
2234,12633.0,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,,NI,,False
504,221.0,CONFLITO DE COMPETÊNCIA CÍVEL,12965.0,Conflito de Competência,,False
1746,1733.0,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),11518.0,Subscrição de Mais de Uma Ficha de Filiação Partidária,,False
1480,241.0,PETIÇÃO CÍVEL,11746.0,Exceção - De Suspeição,,False
395,11955.0,CAUTELAR INOMINADA CRIMINAL,5897.0,Associação para a Produção e Tráfico e Condutas Afins,,False
1817,11532.0,REGISTRO DE CANDIDATURA,11584.0,Candidatos,,False
1137,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11513.0,Arregimentação de Eleitor ou Boca de Urna,vote_buying,True
560,156.0,CUMPRIMENTO DE SENTENÇA,11657.0,Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum,,False
564,156.0,CUMPRIMENTO DE SENTENÇA,11663.0,Propaganda Política - Propaganda Eleitoral - Conduta Vedada a Emissora de Rádio/Televisão na Programação Normal,,False
268,11528.0,AÇÃO PENAL ELEITORAL,11524.0,Irregularidades dos Dados Publicados em Pesquisas Eleitorais,pesquisa_adv,True
2477,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11653.0,Propaganda Política - Propaganda Eleitoral - Adesivo,,False
2287,14208.0,SUSPENSÃO DE ÓRGÃO PARTIDÁRIO,11692.0,Contas,,False
1691,1733.0,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),11482.0,Crimes contra a Propaganda Eleitoral,,False
1294,12562.0,PET-ADM,11753.0,Convenção Partidária,,False
914,279.0,INQUÉRITO POLICIAL,10824.0,Coação eleitoral,vote_buying,True
1831,11532.0,REGISTRO DE CANDIDATURA,11647.0,Eleições - Eleição Suplementar,,False
2033,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11437.0,Crimes contra o Serviço da Justiça Eleitoral,,False
71,280.0,AUTO DE PRISÃO EM FLAGRANTE,7929.0,Prisão em flagrante,,False
528,156.0,CUMPRIMENTO DE SENTENÇA,11698.0,Contas - Não Apresentação das Contas,,False
284,11528.0,AÇÃO PENAL ELEITORAL,7929.0,Prisão em flagrante,,False
1485,241.0,PETIÇÃO CÍVEL,11472.0,Falsificação ou Alteração de Documento Público para Fins Eleitorais,,False
615,12625.0,DIREITO DE RESPOSTA,11662.0,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,,False
912,279.0,INQUÉRITO POLICIAL,3535.0,Certidão ou atestado ideologicamente falso,,False
292,11528.0,AÇÃO PENAL ELEITORAL,11778.0,Requerimento,,False
405,11955.0,CAUTELAR INOMINADA CRIMINAL,11737.0,Cautelar Inominada - Incidental,,False
1656,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11647.0,Eleições - Eleição Suplementar,,False
201,11528.0,AÇÃO PENAL ELEITORAL,11504.0,Concentração de Eleitores para Embaraçar ou Fraudar o Exercício do Voto,ballot_integrity,True
1546,241.0,PETIÇÃO CÍVEL,11766.0,Partido Político - Órgão de Direção Estadual,,False
2541,12134.0,TUTELA CAUTELAR ANTECEDENTE,11591.0,Condição de Elegibilidade - Pleno Exercício dos Direitos Políticos,,False
2118,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11493.0,Participação de Pessoa Não Detentora de Direitos Políticos em Atividades Partidárias e de Propaganda Eleitoral,,False
2367,278.0,TERMO CIRCUNSTANCIADO,11488.0,Injúria Eleitoral Violenta,honra,True
2349,278.0,TERMO CIRCUNSTANCIADO,11485.0,Divulgação de Falsa Imputação,honra,True
2123,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,14684.0,Perseguição,,False
745,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11485.0,Divulgação de Falsa Imputação,,False
25,11530.0,APURAÇÃO DE ELEIÇÃO,11644.0,Eleições - Anulação de Eleições,,False
1983,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,10826.0,Aliciamento comercial de eleitores,vote_buying,True
109,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11597.0,Inelegibilidade - Analfabetismo,inelegib,True
189,11528.0,AÇÃO PENAL ELEITORAL,11494.0,Autorização de Transmissão de Pessoa Não Detentora de Direitos Políticos em Atividades Partidárias e de Propaganda Eleitoral,,False
2524,12134.0,TUTELA CAUTELAR ANTECEDENTE,12601.0,Candidato Não-Eleito,,False
1609,241.0,PETIÇÃO CÍVEL,11626.0,Registro de Candidatura - Substituição de Candidato - Por Ineligibilidade,,False
864,12556.0,IMPUGNAÇÃO PERANTE AS JUNTAS ELEITORAIS,14223.0,Impugnação - Nomeação de Escrutinadores/Auxiliares Realizada pelo Presidente da Junta,,False
863,12556.0,IMPUGNAÇÃO PERANTE AS JUNTAS ELEITORAIS,12050.0,Impugnação - Identidade de Eleitor Admitido a Votar,,False
2573,12134.0,TUTELA CAUTELAR ANTECEDENTE,11655.0,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,,False
