municipality_id_tse,prefeito_blank_share_cast_2020,prefeito_blank_share_cast_2024,vereador_blank_share_cast_2020,vereador_blank_share_cast_2024,prefeito_invalid_share_cast_2020,prefeito_invalid_share_cast_2024,vereador_invalid_share_cast_2020,vereador_invalid_share_cast_2024,prefeito_null_share_cast_2020,prefeito_null_share_cast_2024,vereador_null_share_cast_2020,vereador_null_share_cast_2024,delta_prefeito_null_share_cast_2024_2020,delta_prefeito_blank_share_cast_2024_2020,delta_prefeito_invalid_share_cast_2024_2020,delta_vereador_null_share_cast_2024_2020,delta_vereador_blank_share_cast_2024_2020,delta_vereador_invalid_share_cast_2024_2020,rolloff_null_share_cast_2020,rolloff_null_share_cast_2024,delta_rolloff_null_share_cast_2024_2020,rolloff_blank_share_cast_2020,rolloff_blank_share_cast_2024,delta_rolloff_blank_share_cast_2024_2020,rolloff_invalid_share_cast_2020,rolloff_invalid_share_cast_2024,delta_rolloff_invalid_share_cast_2024_2020
00256,0.01845686583727586,0.019402818161485126,0.02733485193621868,0.021527622455826435,0.055078558495414986,0.04238425408186088,0.0506979732492261,0.03970029076269291,0.03662169265813913,0.022981435920375756,0.02336312131300742,0.018172668306866473,-0.013640256737763375,0.000945952324209267,-0.012694304413554104,-0.0051904530061409465,-0.005807229480392244,-0.01099768248653319,-0.013258571345131712,-0.0048087676135092836,0.008449803731622428,0.00887798609894282,0.0021248042943413092,-0.006753181804601511,-0.004380585246188888,-0.0026839633191679743,0.0016966219270209137
00272,0.021397105097545627,0.014976038338658147,0.02160688063771764,0.016773162939297124,0.06377176421229284,0.03304712460063898,0.0446821900566394,0.029752396166134187,0.04237465911474722,0.01807108626198083,0.023075309418921754,0.012979233226837061,-0.02430357285276639,-0.00642106675888748,-0.030724639611653864,-0.010096076192084693,-0.004833717698420517,-0.014929793890505211,-0.019299349695825467,-0.0050918530351437685,0.014207496660681699,0.0002097755401720136,0.0017971246006389767,0.001587349060466963,-0.019089574155653447,-0.0032947284345047935,0.015794845721148653
00299,0.03822657936130519,0.02326710357501994,0.03584884954457329,0.02697735705121537,0.08819548597139408,0.04733173827109123,0.08194022753045323,0.045910052359651864,0.04996890661008889,0.024064634696071292,0.04609137798587994,0.01893269530843649,-0.025904271914017597,-0.014959475786285252,-0.04086374770030285,-0.027158682677443452,-0.008871492493357922,-0.036030175170801364,-0.0038775286242089466,-0.005131939387634801,-0.0012544107634258547,-0.0023777298167318994,0.0037102534761954305,0.00608798329292733,-0.006255258440940853,-0.0014216859114393673,0.004833572529501486
00310,0.020620763467713164,0.013690774854849114,0.02097752408134142,0.013905813203354598,0.06386014983945773,0.032542470073829835,0.05629682483053871,0.030678804386782308,0.043239386371744556,0.018851695218980717,0.035319300749197285,0.01677299118342771,-0.02438769115276384,-0.006929988612864049,-0.031317679765627895,-0.018546309565769574,-0.007071710877986822,-0.0256180204437564,-0.007920085622547271,-0.0020787040355530056,0.005841381586994265,0.00035676061362825695,0.00021503834850548388,-0.00014172226512277307,-0.007563325008919021,-0.001863665687047527,0.005699659321871494
00337,0.01167090362837994,0.011830201809324982,0.017217471689392187,0.011134307585247043,0.05246128957707419,0.029227557411273485,0.05165241506817657,0.033170958014381816,0.04079038594869425,0.017397355601948505,0.034434943378784375,0.02203665042913477,-0.023393030346745742,0.00015929818094504236,-0.023233732165800703,-0.012398292949649604,-0.006083164104145144,-0.018481457053794753,-0.006355442569909872,0.004639294827186266,0.010994737397096138,0.005546568061012247,-0.0006958942240779392,-0.0062424622850901865,-0.0008088745088976196,0.00394340060310833,0.00475227511200595
00353,0.017669172932330827,0.036332831325301206,0.012406015037593985,0.011671686746987951,0.06334586466165414,0.0779367469879518,0.039473684210526314,0.03426204819277109,0.04567669172932331,0.0416039156626506,0.02706766917293233,0.022590361445783132,-0.004072776066672709,0.018663658392970378,0.014590882326297669,-0.004477307727149198,-0.0007343282906060334,-0.0052116360177552265,-0.018609022556390978,-0.019013554216867467,-0.0004045316604764891,-0.005263157894736843,-0.024661144578313254,-0.01939798668357641,-0.023872180451127822,-0.04367469879518072,-0.019802518344052895
00370,0.016170129361034888,0.008535367293198946,0.019404155233241866,0.018341959502406247,0.05105840846726774,0.02932897484790702,0.04449235593884751,0.03650231544538273,0.03488827910623285,0.020793607554708073,0.025088200705605645,0.01816035594297648,-0.014094671551524777,-0.0076347620678359415,-0.02172943361936072,-0.006927844762629164,-0.0010621957308356196,-0.00799004049346478,-0.009800078400627205,-0.002633251611731592,0.007166826788895613,0.0032340258722069783,0.0098065922092073,0.006572566337000322,-0.006566052528420227,0.0071733405974757115,0.013739393125895939
00396,0.012018767272960987,0.011445817436364672,0.014910983996400796,0.012470816012755537,0.04364033678256957,0.02516940948693127,0.03759881740471753,0.025852741871191846,0.03162156950960859,0.013723592050566596,0.02268783340831673,0.013381925858436308,-0.01789797745904199,-0.0005729498365963145,-0.018470927295638304,-0.009305907549880421,-0.002440167983645259,-0.011746075533525684,-0.008933736101291858,-0.00034166619213028826,0.00859206990916157,0.0028922167234398093,0.0010249985763908648,-0.0018672181470489446,-0.0060415193778520435,0.0006833323842605765,0.00672485176211262
00418,0.013655627060116152,0.015973968347877534,0.015931564903468844,0.015308386333382636,0.04073143933448438,0.04267120248483952,0.034452990111442476,0.03461026475373465,0.02707581227436823,0.026697234136961987,0.01852142520797363,0.01930187842035202,-0.0003785781374062436,0.0023183412877613822,0.0019397631503551421,0.0007804532123783896,-0.0006231785700862077,0.0001572746422921767,-0.008554387066394602,-0.007395355716609969,0.0011590313497846332,0.002275937843352692,-0.000665582014494898,-0.00294151985784759,-0.006278449223041903,-0.008060937731104868,-0.0017824885080629654
00434,0.015206716299699033,0.014819587628865979,0.018216378900681136,0.009922680412371133,0.05528274988119753,0.037757731958762884,0.05409472517028354,0.028801546391752576,0.04007603358149849,0.022938144329896906,0.03587834626960241,0.018878865979381442,-0.017137889251601587,-0.0003871286708330545,-0.017525017922434646,-0.016999480290220966,-0.008293698488310002,-0.025293178778530965,-0.004197687311896084,-0.004059278350515463,0.00013840896138062053,0.0030096626009821024,-0.004896907216494845,-0.007906569817476948,-0.0011880247109139902,-0.008956185567010309,-0.0077681608560963185
