office_group,election_year,state,municipality_id_tse,municipality_name,total_valid_votes,n_candidates_with_votes,vote_hhi_candidate,female_vote_share,nonwhite_vote_share,higher_education_vote_share,new_candidate_vote_share,incumbent_candidate_vote_share,effective_n_candidates_vote,winner_vote_share,runnerup_vote_share,margin_top1_top2,top2_vote_share,others_vote_share,winner_majority,winner_is_female,winner_is_new_vs_2020,vote_hhi_party,effective_n_parties_vote
legislative,2020,SP,61832,AURIFLAMA,8004,76,0.02598138711753568,0.19865067466266867,0.273488255872064,0.41954022988505746,0.0,0.0,38.48909203639353,0.04735132433783108,0.04547726136931534,0.0018740629685157426,0.09282858570714642,0.9071714142928535,0,0,0,0.1700509377994661,5.8805909155247225
legislative,2020,SP,61840,TAQUARIVAÍ,3488,62,0.03172262304309401,0.31536697247706424,0.1654243119266055,0.3448967889908257,0.0,0.0,31.523244425328162,0.06307339449541284,0.05963302752293578,0.0034403669724770575,0.12270642201834862,0.8772935779816514,0,1,0,0.22448887667283898,4.4545636951863745
legislative,2020,SP,61859,AVAÍ,2879,40,0.04865369365134767,0.1455366446682876,0.19659604029176797,0.29940951719347,0.0,0.0,20.55342410724249,0.09030913511635985,0.08544633553317124,0.0048627995831886095,0.1757554706495311,0.8242445293504689,0,0,0,0.3403516933596231,2.938137284198489
legislative,2020,SP,61867,MARAPOAMA,2198,26,0.08253470563445468,0.39171974522292996,0.004094631483166515,0.16833484986351227,0.0,0.0,12.116115182248171,0.12465878070973613,0.11692447679708826,0.007734303912647872,0.24158325750682438,0.7584167424931756,0,1,0,0.377198727273781,2.6511224129188884
legislative,2020,SP,61875,AVANHANDAVA,5482,70,0.031284635424534885,0.23586282378693907,0.2032105071141919,0.2116016052535571,0.0,0.0,31.964572590663877,0.07369573148485954,0.06475738781466618,0.00893834367019336,0.13845311929952572,0.8615468807004742,0,0,0,0.2248529597910631,4.447350841764394
legislative,2020,SP,61883,SÃO JOÃO DE IRACEMA,1414,30,0.06022418770468682,0.2666195190947666,0.1471004243281471,0.3359264497878359,0.0,0.0,16.604624123841475,0.14214992927864215,0.07213578500707214,0.07001414427157,0.2142857142857143,0.7857142857142857,0,0,0,0.33684472710758645,2.968726892615437
legislative,2020,SP,61891,AVARÉ,33763,191,0.015529191339514945,0.3033202025886325,0.11145336611083138,0.5087225661226786,0.0,0.0,64.39485341747583,0.054823327310961706,0.046648698279181354,0.008174629031780352,0.10147202559014307,0.8985279744098569,0,1,0,0.10962695797414258,9.121843919411385
legislative,2020,SP,61905,SÃO LOURENÇO DA SERRA,8069,114,0.021741789864500725,0.18056760441194697,0.20423844342545544,0.43797248729706284,0.0,0.0,45.994373335047584,0.04944850663031355,0.042384434254554466,0.007064072375759081,0.09183294088486801,0.908167059115132,0,0,0,0.15153246427159012,6.599245942491307
legislative,2020,SP,61913,BADY BASSITT,8784,79,0.02602925069093997,0.23622495446265937,0.2336065573770492,0.411316029143898,0.0,0.0,38.4183168341481,0.050546448087431695,0.047586520947176685,0.00295992714025501,0.09813296903460839,0.9018670309653916,0,0,0,0.1408144278718385,7.101545027119981
legislative,2020,SP,61921,ZACARIAS,1845,29,0.059746035942744254,0.2634146341463415,0.0921409214092141,0.24444444444444444,0.0,0.0,16.737512108055483,0.12628726287262873,0.0915989159891599,0.034688346883468835,0.21788617886178863,0.7821138211382114,0,0,0,0.38141993669259183,2.6217821980447686
